full_name,height_inches,reach_inches,stance
Magomed Ankalaev,75.0,75.0,Orthodox
Gadzhimurad Antigulov,71.0,70.0,Orthodox
Adam Antolin,65.0,63.0,Orthodox
Angelo Antonio,,,Orthodox
Vanilto Antunes,72.0,72.0,Orthodox
Azunna Anyanwu,73.0,,Orthodox
Shinsho Anzai,67.0,70.0,Orthodox
Jin Aoi,66.0,68.0,Orthodox
Shinya Aoki,71.0,,Southpaw
 Aoriqileng,67.0,69.0,Orthodox
Josh Appelt,70.0,,Southpaw
Erik Apple,72.0,,Orthodox
Kenji Arai,70.0,,Southpaw
Romie Aram,70.0,,Orthodox
Felipe Arantes,68.0,73.0,Orthodox
Igor Araujo,73.0,77.0,Orthodox
Viviane Araujo,64.0,68.0,Orthodox
Julio Arce,67.0,70.0,Southpaw
Art Arciniega,68.0,,
Alice Ardelean,63.0,62.0,Orthodox
Tristan Arenal,,,
Gabriel Arges,,,
Dan Argueta,67.0,68.0,Southpaw
Reza Arianto,,,
Hashem Arkhagha,74.0,75.0,Orthodox
Andrei Arlovski,75.0,77.0,Orthodox
Garrett Armfield,66.0,70.0,Orthodox
Joey Armstrong,,,
Austin Arnett,72.0,72.0,Orthodox
Ricardo Arona,71.0,,Orthodox
Eli Aronov,70.0,72.0,Orthodox
Chalid Arrab,71.0,,Orthodox
Akbarh Arreola,70.0,71.0,Southpaw
Matt Arroyo,70.0,72.0,Orthodox
Antonio Arroyo,75.0,73.0,Orthodox
Gilles Arsene,69.0,,Southpaw
Veta Arteaga,67.0,,
Cesar Arzamendia,71.0,,Orthodox
Kai Asakura,68.0,69.0,Orthodox
Teddy Ash,73.0,73.0,Switch
Arman Ashimov,66.0,,
Yanal Ashmouz,69.0,69.0,Orthodox
 Asjabharan,66.0,,
Askar Askar,67.0,69.0,Orthodox
Askar Askarov,66.0,67.0,Orthodox
Cyril Asker,72.0,74.0,Orthodox
Khusein Askhabov,68.0,69.0,Orthodox
Scott Askham,75.0,75.0,Southpaw
Ben Askren,71.0,73.0,Orthodox
Ibo Aslan,75.0,77.0,Orthodox
Tom Aspinall,77.0,78.0,Orthodox
Steven Asplund,77.0,78.0,Orthodox
Bruno Assis,74.0,,Orthodox
Junior Assuncao,69.0,72.0,Orthodox
Raphael Assuncao,65.0,66.0,Orthodox
Michael Aswell,68.0,69.0,Orthodox
Bazigit Atajev,73.0,,Orthodox
Rich Attonito,70.0,72.0,Orthodox
Olivier Aubin-Mercier,69.0,70.0,Southpaw
Pat Audinwood,72.0,,Orthodox
Jose Augusto,75.0,,
Marcus Aurelio,70.0,74.0,Orthodox
David Avellan,69.0,,Orthodox
Blas Avena,72.0,74.0,Orthodox
Levi Avera,73.0,,
Anthony Avila,67.0,,
Chris Avila,70.0,,Orthodox
Julia Avila,67.0,68.0,Orthodox
Saad Awad,71.0,,
Javy Ayala,73.0,,
Jessin Ayari,72.0,73.0,Orthodox
Abu Azaitar,69.0,76.0,Orthodox
Ottman Azaitar,68.0,71.0,Switch
Luiz Azeredo,69.0,,Orthodox
Luciano Azevedo,75.0,,Orthodox
Hunter Azure,68.0,69.0,Orthodox
Niklas Backstrom,73.0,,Orthodox
Seth Baczynski,75.0,75.0,Orthodox
Abdul Azeem Badakhshi,,,
Ryan Bader,74.0,74.0,Orthodox
Izabela Badurek,65.0,,Orthodox
Miguel Baeza,74.0,74.0,Orthodox
Ali Bagautinov,64.0,65.0,Orthodox
Mehdi Baghdad,73.0,,Orthodox
Melsik Baghdasaryan,69.0,70.0,Southpaw
Siyar Bahadurzada,71.0,73.0,Orthodox
Ignacio Bahamondes,75.0,75.0,Orthodox
