full_name,height_inches,reach_inches,stance
Macy Chiasson,71.0,72.0,Orthodox
Michael Chiesa,73.0,75.0,Southpaw
Giga Chikadze,72.0,74.0,Orthodox
Khamzat Chimaev,74.0,75.0,Orthodox
Sako Chivitchian,71.0,,Orthodox
Mu Bae Choi,74.0,,Orthodox
Hong Man Choi,86.0,,Orthodox
Dooho Choi,70.0,70.0,Orthodox
SeungWoo Choi,72.0,74.0,Orthodox
SeungGuk Choi,66.0,64.0,Orthodox
DongHun Choi,65.0,66.0,Switch
Mark Choinski,68.0,69.0,Orthodox
John Cholish,71.0,74.0,Orthodox
Ryo Chonan,69.0,70.0,Orthodox
Will Chope,76.0,,Switch
Cody Chovancek,68.0,67.0,Switch
Joachim Christensen,75.0,76.0,Orthodox
Kevin Christian,79.0,80.0,Orthodox
Dan Christison,80.0,,Orthodox
Anthony Christodoulou,69.0,,Orthodox
Murad Chunkaiev,71.0,,Orthodox
Cameron Church,71.0,72.0,Orthodox
Steven Ciaccio,72.0,,
Mike Ciesnolevicz,72.0,,Orthodox
Hannah Cifers,61.0,62.0,Orthodox
Branko Cikatic,73.0,,Orthodox
Nikolajus Cilkinas,,,Orthodox
Misha Cirkunov,75.0,77.0,Orthodox
Johnny Cisneros,71.0,,
Laverne Clark,71.0,,Orthodox
Logan Clark,74.0,,Orthodox
Mychal Clark,75.0,,Orthodox
Dominic Clark,70.0,,
Heather Clark,66.0,64.0,Orthodox
Devin Clark,72.0,75.0,Orthodox
Jessica-Rose Clark,65.0,64.0,Orthodox
Shannon Clark,65.0,64.0,Orthodox
John Clarke,,,
Mitch Clarke,70.0,73.0,Orthodox
Rich Clementi,69.0,72.0,Southpaw
Chris Clements,70.0,70.0,Orthodox
RJ Clifford,,,
Mark Climaco,64.0,65.0,Southpaw
Josh Clopton,66.0,,Orthodox
Brian Cobb,71.0,,Orthodox
Darryl Cobb,69.0,,
Dave Cochran,66.0,,
Dakota Cochrane,68.0,,
Marloes Coenen,69.0,67.0,
Marc Cofer,,,
John Cofer,69.0,,Southpaw
Chris Coggins,,,
Felipe Colares,68.0,69.0,Orthodox
Wayne Cole,73.0,,Orthodox
Devin Cole,76.0,,Orthodox
Coltin Cole,,,
Ivan Cole,69.0,,
Chandler Cole,70.0,72.0,Orthodox
Mark Coleman,73.0,75.0,Orthodox
Cortez Coleman,73.0,,
Clay Collard,71.0,73.0,Orthodox
Jamie Colleen,63.0,65.0,Orthodox
Jake Collier,75.0,78.0,Orthodox
Christian Colombo,77.0,,Orthodox
Willian Colorado,70.0,72.0,
Wes Combs,74.0,,Orthodox
Rose Conceicao,55.0,65.0,Orthodox
Roque Conceicao,64.0,67.0,Orthodox
Carlos Condit,74.0,75.0,Orthodox
Chris Condo,72.0,,Orthodox
Jack Congdon,74.0,75.0,Switch
Tristan Connelly,70.0,68.0,Orthodox
Marcos Conrado Jr.,74.0,,Orthodox
Jeremiah Constant,73.0,,Orthodox
Jonathan Contrestano,,,
Bob Cook,69.0,,Orthodox
Mike Cook,73.0,,Orthodox
Chad Cook,74.0,,
TJ Cook,,,
Dewey Cooper,,,
Brett Cooper,72.0,,Orthodox
Bill Cooper,,,
Bobby Cooper,73.0,,
Amanda Cooper,63.0,64.0,Switch
Kit Cope,72.0,,Orthodox
Chris Cope,72.0,72.0,Orthodox
Josh Copeland,73.0,,Orthodox
Michael Cora,73.0,77.0,Southpaw
Akira Corassani,68.0,68.0,Orthodox
Muhsin Corbbrey,70.0,,Orthodox
Alden Coria,68.0,67.0,Orthodox
Daniel Cormier,71.0,72.0,Orthodox
Nora Cornolle,67.0,67.0,Orthodox
Clint Coronel,,,
Henry Corrales,69.0,,
Bethe Correia,65.0,64.0,Orthodox
Wesley Correira,75.0,,Orthodox
Waldo Cortes-Acosta,76.0,78.0,Orthodox
Tracy Cortez,65.0,65.0,Orthodox
Reyes Cortez Jr.,67.0,68.0,Orthodox
Chad Corvin,77.0,,
Louis Cosce,69.0,71.0,Orthodox
Orion Cosce,71.0,71.0,Switch
Miguel Cosio,76.0,,
Jadson Costa,67.0,,Orthodox
Guilherme Costa,,,
Paulo Costa,73.0,72.0,Orthodox
Randy Costa,69.0,73.0,Switch
Alessandro Costa,64.0,67.0,Orthodox
Melquizael Costa,70.0,71.0,Southpaw
Vitor Costa,74.0,75.0,Orthodox
Oscar Cota,72.0,72.0,Orthodox
Patrick Cote,71.0,75.0,Orthodox
JC Cottrell,69.0,,Orthodox
JR Coughran,66.0,,Orthodox
Rashad Coulter,71.0,76.0,Orthodox
Dave Courchaine,68.0,,
Randy Couture,73.0,75.0,Orthodox
Kim Couture,68.0,,Orthodox
Ryan Couture,70.0,73.0,Orthodox
Nikk Covert,68.0,,
Colby Covington,71.0,72.0,Orthodox
Hailey Cowan,68.0,67.0,Southpaw
Jeff Cox,70.0,,Orthodox
Nathan Coy,70.0,69.0,Southpaw
Andrew Craig,73.0,76.0,Orthodox
Paul Craig,75.0,76.0,Orthodox
Dan Cramer,74.0,,Orthodox
Alberto Crane,65.0,,Orthodox
Tim Credeur,75.0,75.0,Orthodox
Paul Creighton,66.0,,Southpaw
Helena Crevar,,,
Alexander Crispim,,,
Alex Crispin,,,
Melissa Croden,,,
Kevin Croom,71.0,73.0,Orthodox
Kiefer Crosbie,71.0,70.0,Switch
Ken Cross,72.0,72.0,Southpaw
Jeff Crotty,,,
Allen Crowder,75.0,76.0,Orthodox
Daron Cruickshank,68.0,72.0,Switch
Richard Crunkilton,67.0,,Orthodox
Jimmy Crute,74.0,74.0,Orthodox
Marcio Cruz,76.0,,Orthodox
Dominick Cruz,68.0,68.0,Orthodox
Aalon Cruz,72.0,78.0,Switch
Timmy Cuamba,69.0,71.0,Orthodox
Jay Cucciniello,67.0,,Orthodox
Emilio Cuellar,,,
Josh Culibao,70.0,73.0,Orthodox
Chris Culley,,,
Abel Cullum,67.0,,Orthodox
Zak Cummings,72.0,75.0,Southpaw
Everett Cummings,,,
Patrick Cummins,74.0,76.0,Orthodox
Luke Cummo,72.0,74.0,Orthodox
Hugo Cunha,75.0,79.0,Orthodox
Alton Cunningham,74.0,77.0,Orthodox
AJ Cunningham,70.0,71.0,Orthodox
Tommy Cuozzi Jr.,69.0,71.0,Orthodox
Santo Curatolo,63.0,62.0,Southpaw
Larry Cureton,74.0,,Orthodox
Jeff Curran,66.0,69.0,Orthodox
Kailin Curran,64.0,65.0,Orthodox
Pat Curran,69.0,,
Will Currie,75.0,76.0,Switch
Chris Curtis,70.0,75.0,Orthodox
Ion Cutelaba,73.0,75.0,Southpaw
Gleidson Cutis,69.0,,Orthodox
Sarah D'alelio,67.0,,
Marcos da Matta,64.0,,
Henrique da Silva,75.0,76.0,Orthodox
Ariane da Silva,66.0,67.0,Orthodox
Alex Da Silva,68.0,73.0,Orthodox
Radley Da Silva,69.0,71.0,Orthodox
Henrique Da Silva Lopes,75.0,,
Deni Daffa,72.0,74.0,Orthodox
Nicolas Dalby,71.0,74.0,Orthodox
Paul Daley,69.0,76.0,Orthodox
Dave Dalgliesh,74.0,,Orthodox
Richard Dalton,73.0,,Orthodox
Aisling Daly,62.0,64.0,Orthodox
Marko Damiani,72.0,,
Leonardo Damiani,70.0,69.0,Orthodox
Rodrigo Damm,67.0,71.0,Orthodox
Carina Damm,64.0,,
Batgerel Danaa,67.0,70.0,Orthodox
Cindy Dandois,67.0,,Orthodox
Peter Danesoe,69.0,68.0,Orthodox
Jarjis Danho,75.0,74.0,Orthodox
Jose Daniel Medina,72.0,74.0,Orthodox
Raymond Daniels,74.0,,Southpaw
Marques Daniels,,,
Anvarbek Daniyalbekov,,,
Alexandre Dantas,74.0,,Orthodox
Eduardo Dantas,70.0,,
Mac Danzig,68.0,70.0,Orthodox
Karen Darabedyan,67.0,68.0,Orthodox
Beneil Dariush,70.0,72.0,Southpaw
Sean Daugherty,72.0,,
Kyle Daukaus,74.0,76.0,Southpaw
Chris Daukaus,75.0,76.0,Orthodox
Brian Davidson,66.0,,
Rick Davis,69.0,,Orthodox
Marcus Davis,70.0,70.0,Southpaw
LC Davis,68.0,69.0,Southpaw
Phil Davis,74.0,79.0,Orthodox
Lemont Davis,68.0,,Orthodox
Mike Davis,,,
Justin Davis,71.0,,
Alexis Davis,66.0,68.0,Orthodox
Danny Davis,74.0,,
Brandon Davis,70.0,72.0,Orthodox
Mike Davis,72.0,72.0,Orthodox
Hakeem Dawodu,68.0,73.0,Orthodox
Grant Dawson,70.0,72.0,Switch
Jason Day,72.0,72.0,Orthodox
Martin Day,70.0,73.0,Orthodox
Angel De Anda,69.0,,Orthodox
Yorgan De Castro,72.0,74.0,Orthodox
Geraldo de Freitas,67.0,72.0,Orthodox
Philip De Fries,77.0,79.0,Orthodox
Chris de la Rocha,75.0,80.0,Orthodox
Montana De La Rosa,67.0,68.0,Orthodox
Mark De La Rosa,66.0,65.0,Orthodox
Mike de la Torre,71.0,71.0,Orthodox
Rodrigo de Lima,67.0,,Orthodox
Edilberto de Oliveira,72.0,,Orthodox
Johil de Oliveira,66.0,,Orthodox
Jorge de Oliveira,68.0,,Orthodox
Jair De Oliveira,69.0,69.0,
Isabela de Padua,63.0,64.0,Orthodox
Gloria de Paula,65.0,67.0,Orthodox
Germaine de Randamie,69.0,71.0,Orthodox
Reinier de Ridder,76.0,78.0,Southpaw
Crezio de Souza,,,Orthodox
Carl Deaton,67.0,69.0,Orthodox
Tom DeBlass,72.0,,Orthodox
Issac DeJesus,,,
Rafael Del Real,71.0,,
Shane del Rosario,76.0,,Southpaw
Wallen Del Rosario,64.0,67.0,Orthodox
Yadier del Valle,69.0,69.0,Southpaw
Jose Delano,68.0,70.0,Orthodox
Humberto DeLeon,,,
Rolando Delgado,75.0,77.0,Orthodox
Israel Delgado,70.0,,
Jose Delgado,71.0,74.0,Switch
Ante Delija,75.0,78.0,Orthodox
Jack Della Maddalena,71.0,73.0,Switch
Roland Delorme,69.0,71.0,Orthodox
Jon Delos Reyes,66.0,67.0,Orthodox
Jason DeLucia,71.0,,Southpaw
Justin DeMoney,,,
Vanessa Demopoulos,62.0,59.0,Orthodox
Chris Dempsey,70.0,72.0,Orthodox
Nick Denis,67.0,,Orthodox
Thomas Denny,70.0,,Orthodox
Robert Densley,69.0,,
Jason Dent,70.0,71.0,Orthodox
Mackenzie Dern,64.0,63.0,Orthodox
Booker DeRousse,74.0,,
Tony DeSouza,72.0,70.0,Southpaw
Robelis Despaigne,79.0,84.0,Orthodox
Cory Devela,60.0,,Orthodox
John Devine,,,
Edwin DeWees,73.0,,Orthodox
Alessio Di Chirico,72.0,74.0,Orthodox
Micol Di Segni,63.0,60.0,Orthodox
Cyrille Diabate,78.0,81.0,Southpaw
Thomas Diagne,73.0,,
Marc Diakiese,70.0,73.0,Orthodox
Tyler Diamond,67.0,69.0,Orthodox
Blood Diamond,71.0,76.0,Switch
Eldo Xavier Dias,71.0,,
Rafael Dias,69.0,,Orthodox
Hacran Dias,68.0,69.0,Orthodox
Victor Dias,66.0,69.0,Orthodox
Luis Felipe Dias,70.0,74.0,
Magno Dias,65.0,67.0,
Nick Diaz,73.0,76.0,Southpaw
Nate Diaz,72.0,76.0,Southpaw
Michael Diaz,,,
Ryan Diaz,,,
Adrian Diaz,70.0,,Southpaw
Ozzy Diaz,76.0,79.0,Orthodox
Juan Diaz,,,
Mark Dickman,69.0,,
Josh Diekmann,64.0,,
Kyle Dietz,68.0,,Orthodox
Seth Dikun,70.0,69.0,Orthodox
TJ Dillashaw,66.0,67.0,Orthodox
Ralph Dillon,74.0,,Orthodox
Drew Dimanlig,,,
Ding Meng,74.0,73.0,Orthodox
Rodolfo Marques Diniz,66.0,,
Jhonata Diniz,76.0,79.0,Orthodox
Helio Dipp,77.0,,Orthodox
Rico DiSciullo,68.0,,Orthodox
Matt Dixon,70.0,75.0,Switch
John Dixson,72.0,,Orthodox
Anthony Do,64.0,,
Russell Doane,67.0,70.0,Orthodox
Drew Dober,68.0,70.0,Southpaw
Shana Dobson,66.0,69.0,Orthodox
AJ Dobson,73.0,76.0,Orthodox
David Dodd,74.0,,Orthodox
John Dodson,63.0,66.0,Orthodox
Joe Doerksen,72.0,75.0,Orthodox
Mike Dolce,71.0,,
Roman Dolidze,74.0,76.0,Orthodox
Cameron Dollar,71.0,,Orthodox
CB Dollaway,74.0,76.0,Orthodox
Dennis Dombrow,,,
OJ Dominguez,,,
John Donaldson,68.0,,
Daniil Donchenko,71.0,71.0,Orthodox
Dong Huaxiang,63.0,61.0,Switch
Cody Donovan,75.0,74.0,Orthodox
Houston Dorr,73.0,,Orthodox
Rafael Dos Anjos,68.0,70.0,Southpaw
Junior Dos Santos,76.0,77.0,Orthodox
Geronimo dos Santos,75.0,,Orthodox
Antonio Dos Santos,70.0,,Orthodox
Anderson Dos Santos,65.0,70.0,Orthodox
Acacio Dos Santos,76.0,79.0,Orthodox
Rayanne dos Santos,62.0,62.0,Orthodox
Felipe dos Santos,67.0,70.0,Orthodox
Tiago dos Santos e Silva,69.0,70.0,Orthodox
Oleksandr Doskalchuk,66.0,,Southpaw
David Douglas,71.0,,
Damion Douglas,,,
Lerryan Douglas,69.0,72.0,Orthodox
Cedric Doumbe,70.0,,
John Dowdy,,,
Jordan Dowdy,,,
Danny Downes,72.0,72.0,Orthodox
Derek Downey,73.0,,Orthodox
John Doyle,71.0,,Orthodox
Edson Drago,76.0,,Orthodox
Jimmy Drago,70.0,71.0,Orthodox
Anthony Drilich,65.0,65.0,Southpaw
Kyle Driscoll,71.0,74.0,Orthodox
Chris Drumm,68.0,,
Tomasz Drwal,73.0,76.0,Orthodox
Robert Drysdale,75.0,,Orthodox
Dricus Du Plessis,73.0,76.0,Switch
Hugo Duarte,72.0,,Orthodox
Antonio Duarte,67.0,,
Joe Duarte,,,
Yuneisy Duben,64.0,65.0,Orthodox
Matthieu Duclos,75.0,77.0,Orthodox
Emily Ducote,62.0,63.0,Orthodox
Viktoriia Dudakova,65.0,67.0,Orthodox
Milana Dudieva,63.0,,Orthodox
Adin Duenas,66.0,,
Todd Duffee,75.0,78.0,Orthodox
Joe Duffy,70.0,73.0,Orthodox
Jack Duffy,67.0,69.0,Switch
Alexis Dufresne,69.0,,Orthodox
Jessamyn Duke,71.0,73.0,Orthodox
Islam Dulatov,75.0,75.0,Orthodox
Isaac Dulgarian,67.0,71.0,Orthodox
Kelly Dullanty,68.0,,Orthodox
Sedriques Dumas,74.0,79.0,Orthodox
Norma Dumont,67.0,67.0,Orthodox
Chris Duncan,70.0,71.0,Orthodox
Christian Leroy Duncan,74.0,79.0,Switch
Evan Dunham,70.0,70.0,Southpaw
Alex Dunworth,68.0,,
Tom Duquesnoy,67.0,68.0,Orthodox
Albert Duraev,71.0,75.0,Orthodox
Reuben Duran,67.0,71.0,Orthodox
Cody Durden,67.0,67.0,Southpaw
Luiz Dutra,71.0,,Orthodox
Rilley Dutro,68.0,,Orthodox
Bill Duvall,74.0,,Southpaw
Merab Dvalishvili,66.0,68.0,Orthodox
David Dvorak,65.0,68.0,Orthodox
Matt Dwyer,76.0,76.0,Orthodox
Rolando Dy,68.0,69.0,Orthodox
Shanelle Dyer,66.0,65.0,Orthodox
Ben Earwood,68.0,,Orthodox
Cody East,75.0,,Orthodox
Marvin Eastman,69.0,73.0,Orthodox
Mike Easton,66.0,70.0,Southpaw
Maurice Eazel,67.0,,
Vincent Eazelle,71.0,,
Ross Ebanez,69.0,,Southpaw
Brian Ebersole,72.0,73.0,Southpaw
Roybert Echeverria,65.0,67.0,Switch
Mark Eddiva,68.0,68.0,Orthodox
Frankie Edgar,66.0,68.0,Orthodox
Abdul-Kerim Edilov,74.0,,Orthodox
Johnny Eduardo,67.0,71.0,Orthodox
Yves Edwards,69.0,73.0,Southpaw
Justin Edwards,70.0,70.0,Orthodox
Leon Edwards,74.0,74.0,Southpaw
Te Edwards,68.0,72.0,Orthodox
Adli Edwards,,,
Joselyne Edwards,68.0,70.0,Orthodox
Tom Egan,71.0,,Orthodox
Stephanie Egger,66.0,68.0,Orthodox
Justin Eilers,73.0,,Orthodox
Jon Olav Einemo,78.0,,Orthodox
Per Eklund,70.0,72.0,Orthodox
John Elam,,,
Evan Elder,70.0,72.0,Switch
Billy Elekana,75.0,77.0,Southpaw
John Paul Elias,76.0,,
Joao Elias,63.0,64.0,Southpaw
Saul Elizondo,67.0,,
Darren Elkins,70.0,71.0,Orthodox
Jake Ellenberger,69.0,71.0,Orthodox
Joe Ellenberger,69.0,72.0,Orthodox
Tim Elliott,67.0,66.0,Southpaw
Oban Elliott,72.0,72.0,Orthodox
Eddy Ellis,69.0,,Orthodox
Lisa Ellis,64.0,,
Elisha Ellison,72.0,78.0,Orthodox
Anna Elmose,63.0,,Orthodox
Cameron Else,69.0,71.0,Switch
Aaron Ely,68.0,,
Sovannahry Em,64.0,,
Ramazan Emeev,70.0,76.0,Southpaw
Aleksander Emelianenko,78.0,,Orthodox
Fedor Emelianenko,72.0,74.0,Orthodox
Rob Emerson,69.0,70.0,Orthodox
Jamall Emmers,70.0,74.0,Orthodox
Josh Emmett,66.0,70.0,Orthodox
Marius Enache,71.0,,
Kevin Engel,74.0,,
Kolton Englund,70.0,69.0,Orthodox
Oliver Enkamp,72.0,77.0,Switch
Alex Enlund,70.0,,Orthodox
Kenny Ento,74.0,,
Ian Entwistle,65.0,,Orthodox
Andy Enz,75.0,78.0,Orthodox
Won Jin Eoh,67.0,,Orthodox
Yuji Ephoevi-Ga,72.0,75.0,Switch
Josh Epps,,,
Abdellah Er-Ramy,72.0,74.0,Orthodox
Steve Erceg,68.0,68.0,Orthodox
Tom Erikson,75.0,,Orthodox
Konstantin Erokhin,71.0,,Orthodox
Julian Erosa,73.0,74.0,Southpaw
Jarno Errens,71.0,73.0,Orthodox
Ivan Erslan,74.0,72.0,Orthodox
Nick Ertl,69.0,,
Chel Erwin-Davis,72.0,,
Bobby Escalante,,,
Eric Esch,71.0,,Orthodox
Pro Escobedo,,,
Cole Escovedo,67.0,72.0,Orthodox
Efrain Escudero,69.0,71.0,Orthodox
Evan Esguerra,,,
Carla Esparza,61.0,63.0,Orthodox
Juan Espino,75.0,80.0,Orthodox
Jordan Espinosa,66.0,69.0,Orthodox
Jodie Esquibel,61.0,64.0,Orthodox
Rafael Estevam,68.0,69.0,Orthodox
Achilles Estremadura,70.0,68.0,Orthodox
Shaun Etchell,67.0,68.0,Switch
Terry Etim,73.0,73.0,Orthodox
Fred Ettish,72.0,,Southpaw
Scott Ettling,,,
Sijara Eubanks,64.0,67.0,Orthodox
Billy Evangelista,68.0,68.0,Orthodox
Rashad Evans,72.0,75.0,Orthodox
Doug Evans,69.0,,Orthodox
Ashlee Evans-Smith,68.0,67.0,Orthodox
Dan Evensen,75.0,,Orthodox
Tonya Evinger,67.0,70.0,Orthodox
Movsar Evloev,67.0,72.0,Orthodox
Andre Ewell,68.0,75.0,Southpaw
Chris Ewert,72.0,75.0,Orthodox
Neal Ewing,,,
Manuel Exposito,67.0,68.0,Orthodox
Jessica Eye,66.0,66.0,Orthodox
Edward Faaloloto,,70.0,Orthodox
Urijah Faber,66.0,67.0,Orthodox
Melinda Fabian,66.0,66.0,Orthodox
Wagnney Fabiano,66.0,69.0,Southpaw
Bartosz Fabinski,72.0,75.0,Orthodox
Ron Faircloth,69.0,,Orthodox
Jason Fairn,73.0,,
Zarah Fairn,68.0,72.0,Orthodox
Rinat Fakhretdinov,72.0,74.0,Orthodox
Maiquel Falcao,71.0,,Orthodox
Pedro Falcao,66.0,66.0,Orthodox
Brodie Farber,73.0,,Orthodox
Joao Paulo Faria,69.0,,
Kalindra Faria,67.0,,Switch
Jair Farias,73.0,76.0,Orthodox
Chance Farrar,69.0,,Southpaw
Rico Farrington,76.0,79.0,Southpaw
Kelly Faszholz,68.0,,Orthodox
Rodney Faverus,72.0,,Southpaw
Paul Felder,71.0,70.0,Orthodox
Carlos Felipe,72.0,75.0,Orthodox
JP Felty,,,
Feng Pengchao,,,
Feng Xiaocan,67.0,67.0,Southpaw
Kevin Ferguson,74.0,77.0,Orthodox
Rhadi Ferguson,67.0,,
Tony Ferguson,71.0,76.0,Orthodox
Josh Ferguson,65.0,,Orthodox
CJ Fernandes,74.0,,
Bibiano Fernandes,67.0,,Orthodox
Gabriella Fernandes,66.0,66.0,Southpaw
Kaue Fernandes,69.0,73.0,Orthodox
Emily Fernandez,,,
Luke Fernandez,73.0,76.0,Orthodox
Lucas Fernando,75.0,80.0,
Alexandre Ferreira,67.0,,Orthodox
Cezar Ferreira,73.0,78.0,Southpaw
Diego Ferreira,69.0,74.0,Orthodox
Erisson Ferreira,66.0,70.0,Orthodox
Brunno Ferreira,70.0,72.0,Orthodox
Scott Ferrozzo,71.0,,Orthodox
Timo Feucht,75.0,79.0,Orthodox
Andre Fialho,72.0,74.0,Orthodox
Drew Fickett,70.0,70.0,Orthodox
Scott Fiedler,76.0,,Orthodox
Ron Fields,74.0,,Orthodox
Michal Figlak,70.0,70.0,Orthodox
Deiveson Figueiredo,65.0,68.0,Orthodox
Francisco Figueiredo,66.0,68.0,Southpaw
Anthony Figueroa,64.0,,Orthodox
Edwin Figueroa,67.0,69.0,Orthodox
Jonathan Figueroa,,,
Paulo Filho,68.0,,Southpaw
Jafel Filho,67.0,68.0,Orthodox
Andre Fili,71.0,74.0,Orthodox
Mirko Filipovic,74.0,73.0,Southpaw
Brady Fink,72.0,,Orthodox
Jesse Finney,72.0,,
Jan Finney,68.0,,Orthodox
Torrez Finney,68.0,75.0,Orthodox
Luigi Fioravanti,68.0,70.0,Orthodox
Nick Fiore,70.0,72.0,Orthodox
Manon Fiorot,67.0,65.0,Orthodox
Luiz Firmino,66.0,,Orthodox
Spencer Fisher,67.0,68.0,Southpaw
Chris Fishgold,68.0,68.0,Orthodox
Bryanna Fissori,64.0,,
Jon Fitch,72.0,74.0,Orthodox
Isi Fitikefu,70.0,,
Rafael Fiziev,68.0,71.0,Switch
Colin Fletcher,74.0,,Orthodox
AJ Fletcher,70.0,67.0,Switch
Nathan Fletcher,67.0,70.0,Orthodox
Jimmy Flick,67.0,68.0,Orthodox
Luke Flores,72.0,73.0,Southpaw
Ty Flores,75.0,73.0,Switch
Alejandro Flores,70.0,73.0,Orthodox
Kenny Florian,70.0,74.0,Southpaw
Darrius Flowers,69.0,71.0,Orthodox
Cody Floyd,,,
Bobby Flynn,,,
Caros Fodor,69.0,74.0,Orthodox
Mal Foki,67.0,,Orthodox
Matt Foki,67.0,,Orthodox
AJ Fonseca,64.0,,
Rob Font,68.0,71.0,Orthodox
Claudionor Fontinelle,65.0,,Orthodox
Jesse Forbes,74.0,75.0,Southpaw
Sterling Ford,70.0,,
Codale Ford,69.0,,
Raheam Forest,71.0,73.0,Switch
Jussier Formiga,65.0,67.0,Orthodox
Carol Foro,62.0,61.0,Orthodox
Renee Forte,67.0,71.0,Orthodox
Brianna Fortino,60.0,62.0,Southpaw
Marcel Fortuna,73.0,74.0,Orthodox
Brian Foster,69.0,71.0,Orthodox
Xavier Foupa-Pokam,73.0,,Open Stance
Mason Fowler,71.0,,
Brandon Foxworth,71.0,,Orthodox
Hermes Franca,66.0,71.0,Orthodox
Glaico Franca Moreira,72.0,77.0,Orthodox
Francisco France,72.0,,
John Franchi,66.0,67.0,Orthodox
Felipe Franco,73.0,76.0,Orthodox
Rich Franklin,73.0,76.0,Southpaw
Xavier Franklin,66.0,66.0,Southpaw
Zoila Frausto,64.0,,Orthodox
Stephanie Frausto,62.0,61.0,Orthodox
Zane Frazier,77.0,,Orthodox
Gary Frazier,72.0,,Orthodox
Justin Frazier,72.0,75.0,Southpaw
Ian Freeman,71.0,,Orthodox
Jason Freeman,74.0,,
Kennedy Freeman,,,
Denzel Freeman,,,
Willamy Freire,68.0,,Orthodox
Patricio Freire,66.0,67.0,Orthodox
Patricky Freire,67.0,71.0,
Jeremy Freitag,73.0,,
Rafael Freitas,,,Orthodox
Donavon Frelow,67.0,,Orthodox
Josh Fremd,76.0,76.0,Orthodox
Clay French,67.0,,Southpaw
Mike French,70.0,,
Matt Frevola,69.0,71.0,Orthodox
Jinh Yu Frey,63.0,65.0,Southpaw
Artem Frolov,70.0,,
Sarah Frota,66.0,69.0,Southpaw
Daniel Frunza,73.0,73.0,Orthodox
Don Frye,73.0,,Orthodox
Allen Frye Jr.,,,
Tony Fryklund,72.0,,Orthodox
Adam Fugitt,73.0,77.0,Southpaw
Jesse Fujarczyk,76.0,,Southpaw
Katsuhisa Fujii,72.0,,Orthodox
Megumi Fujii,63.0,,
Kazuyuki Fujita,72.0,,Orthodox
Keisuke Fujiwara,66.0,,Switch
Riki Fukuda,72.0,73.0,Southpaw
Masio Fullen,70.0,70.0,Orthodox
Travis Fulton,72.0,,Orthodox
Sam Fulton,,,
Masakatsu Funaki,72.0,,Southpaw
Ricardo Funch,70.0,74.0,Southpaw
Katsuaki Furuki,72.0,,
James Gabert,,,
Gustavo Gabriel,66.0,,Orthodox
Claudia Gadelha,64.0,63.0,Orthodox
Alavutdin Gadjiev,74.0,,Orthodox
Magomed Gadzhiyasulov,74.0,75.0,Orthodox
Justin Gaethje,71.0,70.0,Orthodox
Sheila Gaff,65.0,,Orthodox
Muin Gafurov,67.0,68.0,Orthodox
Mitch Gagnon,65.0,65.0,Southpaw
Brandon Gaines,75.0,,
Travis Galbraith,72.0,,Orthodox
Dave Galera,71.0,,Orthodox
Zelg Galesic,74.0,,Orthodox
Mickey Gall,74.0,74.0,Switch
Daniel Gallemore,77.0,,
Tom Gallicchio,70.0,,Southpaw
Turrell Galloway,63.0,,
Eric Galvan,,,
Andre Galvao,67.0,,Orthodox
Marcos Galvao,67.0,,Orthodox
Lucas Gamaza,,,
Joey Gambino,67.0,,Orthodox
Manvel Gamburyan,65.0,67.0,Orthodox
Mateusz Gamrot,70.0,70.0,Southpaw
Shamil Gamzatov,74.0,76.0,Orthodox
Ryan Gandra,73.0,74.0,Orthodox
Ariel Gandulla,71.0,,Orthodox
Ciryl Gane,76.0,81.0,Orthodox
Sean Gannon,75.0,,Southpaw
Tommy Gantt,71.0,76.0,Orthodox
Junye Gao,,,
Eduardo Garagorri,69.0,70.0,Orthodox
Cody Garbrandt,68.0,65.0,Orthodox
Leonard Garcia,70.0,68.0,Orthodox
Edgar Garcia,70.0,71.0,Orthodox
Alejandro Garcia,67.0,,
Alex Garcia,69.0,72.0,Orthodox
Nick Garcia,64.0,,
Steve Garcia,72.0,75.0,Southpaw
Elias Garcia,65.0,67.0,Southpaw
Rafa Garcia,67.0,70.0,Orthodox
Fernie Garcia,67.0,67.0,Orthodox
Rulon Gardner,75.0,,Orthodox
David Gardner,71.0,,Orthodox
Pablo Garza,73.0,73.0,Orthodox
Azamat Gashimov,66.0,,Orthodox
Brian Gassaway,73.0,,Orthodox
Kelvin Gastelum,69.0,71.0,Southpaw
Willie Gates,68.0,72.0,Orthodox
Melissa Gatto,65.0,69.0,Orthodox
Sean Gauci,65.0,64.0,Switch
Louis Gaudinot,63.0,63.0,Orthodox
Ateba Gautier,76.0,81.0,Switch
Manuel Gaxhja,68.0,,Switch
Shamil Gaziev,76.0,78.0,Orthodox
Charlene Gellner,62.0,,
Chad George,66.0,68.0,Southpaw
Paul Georgieff,74.0,,Orthodox
Brian Geraghty,67.0,,Orthodox
Derek Getzel,72.0,,
Karine Gevorgyan,64.0,63.0,
Yanis Ghemmouri,69.0,69.0,Orthodox
Darrel Gholar,68.0,,Orthodox
Tiki Ghosn,70.0,,Orthodox
Christos Giagos,70.0,71.0,Orthodox
Joe Giannetti,72.0,74.0,Southpaw
Nick Gibbons,70.0,,
James Giboo,71.0,,Orthodox
Lance Gibson,69.0,,Orthodox
Lee Gibson,67.0,,
Cody Gibson,70.0,71.0,Orthodox
Chase Gibson,70.0,72.0,Orthodox
