Fighter,Final ELO,Peak ELO
Navajo Stirling,1518.62,1518.62
Jamal Pogues,1518.6,1519.64
Andre Roberts,1518.52,1518.92
Alexis Davis,1518.5,1564.26
Javid Basharat,1518.3,1559.77
Tyson Griffin,1518.22,1598.25
Wilson Reis,1518.21,1579.37
Edmen Shahbazyan,1517.82,1590.79
Tom Nolan,1517.75,1517.75
Kyle Nelson,1517.68,1539.23
Din Thomas,1517.62,1564.71
Josh Samman,1517.48,1573.44
Tai Tuivasa,1517.41,1622.4
Rafa Garcia,1517.32,1534.73
Mizuki,1517.26,1520.33
Marlon Moraes,1517.08,1603.68
Cameron Saaiman,1516.98,1564.45
Pedro Munhoz,1516.89,1617.57
Cody Haddon,1516.86,1516.86
Joselyne Edwards,1516.46,1535.75
Chidi Njokuani,1516.39,1544.89
Rogerio Nogueira,1516.3,1571.16
Piera Rodriguez,1516.29,1537.43
Terry Etim,1516.29,1573.52
Josefine Knutsson,1516.27,1538.85
Roy Nelson,1516.21,1593.25
Aleksei Kunchenko,1516.15,1549.27
Sergey Morozov,1516.02,1516.02
Scott Holtzman,1515.9,1587.23
Kiichi Kunimoto,1515.83,1560.59
Joaquim Silva,1515.66,1563.45
Josiane Nunes,1515.65,1560.07
Gavin Tucker,1515.32,1565.77
Manny Bermudez,1515.22,1565.71
Ben Nguyen,1515.21,1560.77
Joanne Wood,1515.15,1540.54
Paddy Holohan,1515.06,1538.55
Ken Shamrock,1515.05,1570.36
Michael Trizano,1514.99,1540.23
Angela Hill,1514.6,1532.84
Gaston Bolanos,1514.53,1516.53
Muin Gafurov,1514.37,1514.37
Tim Elliott,1514.31,1520.08
Holly Holm,1514.26,1572.68
Ovince Saint Preux,1513.98,1610.7
Rich Attonito,1513.83,1542.62
Bea Malecki,1513.82,1540.61
Royston Wee,1513.55,1538.85
Augusto Sakai,1513.5,1581.54
Paige VanZant,1513.43,1564.98
JeongYeong Lee,1513.34,1538.62
Elias Silverio,1513.18,1561.92
Matt Wiman,1513.15,1603.66
Gabriel Gonzaga,1513.08,1590.09
Takeya Mizugaki,1513.02,1598.94
Mohammed Usman,1512.82,1557.0
Billy Quarantillo,1512.78,1569.38
Paul Kelly,1512.21,1542.37
Alex Garcia,1512.18,1552.36
Michael Page,1512.15,1525.36
Michal Oleksiejczuk,1512.07,1580.19
Terrance McKinney,1512.06,1546.95
Tatsuya Kawajiri,1511.8,1547.0
Chris Daukaus,1511.79,1595.69
Mike Perry,1511.58,1576.56
Brad Riddell,1511.58,1580.54
Brad Blackburn,1511.43,1560.53
Julia Avila,1511.25,1538.4
Liz Carmouche,1511.23,1527.04
Damon Jackson,1510.7,1575.88
Alessandro Costa,1510.2,1510.2
Steven Siler,1510.13,1580.29
Ildemar Alcantara,1510.09,1542.83
Jake O'Brien,1509.99,1560.18
Keith Hackney,1509.85,1546.34
Amir Sadollah,1509.64,1561.37
Cody Brundage,1509.62,1527.35
Marcio Cruz,1509.59,1553.49
Cung Le,1509.38,1527.91
Jeremy Stephens,1509.34,1596.32
Che Mills,1509.21,1526.11
Nate Marquardt,1509.1,1632.26
Falaniko Vitale,1508.83,1530.44
Gabriella Fernandes,1508.77,1508.77
Ronny Markes,1508.76,1563.56
Fatima Kline,1508.53,1508.53
Yancy Medeiros,1508.5,1595.32
Jimi Manuwa,1508.17,1599.14
Diego Nunes,1508.14,1526.13
Tresean Gore,1508.02,1508.02
Gary Goodridge,1507.98,1548.0
Ramiz Brahimaj,1507.89,1507.89
Gan McGee,1507.3,1529.6
Sedriques Dumas,1507.21,1513.27
Rob Emerson,1507.15,1559.73
Dennis Hallman,1507.01,1526.85
Kazushi Sakuraba,1506.75,1506.75
Jutaro Nakao,1506.67,1526.93
Song Kenan,1506.58,1559.85
Bruno Silva,1506.52,1589.35
Marc Diakiese,1506.46,1561.69
Aoriqileng,1506.39,1525.16
Kendall Grove,1506.33,1564.06
Antonio Carvalho,1506.27,1526.85
Montana De La Rosa,1506.24,1569.99
Stefan Struve,1506.17,1626.57
Timur Valiev,1506.13,1523.02
Paul Buentello,1506.01,1549.67
Fernando Padilla,1505.94,1526.85
Yana Santos,1505.83,1544.58
Josh Thomson,1505.83,1552.82
Antoni Hardonk,1505.79,1554.85
Yazmin Jauregui,1505.78,1539.5
Klidson Abreu,1505.65,1505.65
Dan Christison,1505.64,1522.62
Modestas Bukauskas,1505.56,1524.0
Rich Clementi,1505.48,1551.82
Erik Koch,1505.23,1543.77
Ian McCall,1505.15,1522.94
Matt Frevola,1505.15,1549.05
Aliaskhab Khizriev,1504.9,1524.0
Mike Wilkinson,1504.75,1523.59
Irina Alekseeva,1504.68,1526.18
Lavar Johnson,1504.52,1546.65
Melquizael Costa,1504.43,1504.43
Chance Rencountre,1504.39,1529.41
Xiao Long,1504.34,1504.34
Jason Saggo,1504.23,1544.81
Tony Kelley,1504.15,1523.92
TJ Waldburger,1504.15,1550.22
Ryan Janes,1504.14,1521.15
Chelsea Chandler,1503.97,1526.44
Joe Charles,1503.79,1526.27
Dave Beneteau,1503.73,1548.0
Todd Duffee,1503.7,1548.83
Erick Silva,1503.68,1569.53
Karolina Kowalkiewicz,1503.6,1560.8
Clint Hester,1503.59,1584.18
Tomasz Drwal,1503.54,1550.55
Kaue Fernandes,1503.23,1503.23
Geza Kalman,1503.2,1503.2
Brian Melancon,1503.18,1527.71
Jose Quinonez,1503.16,1563.2
Thomas Petersen,1503.11,1503.11
Julia Polastri,1503.05,1503.05
Bojan Velickovic,1503.0,1541.94
Dwayne Cason,1502.97,1524.0
Felipe Bunes,1502.91,1502.91
Ben Askren,1502.91,1534.19
Troy Mandaloniz,1502.67,1524.0
Victor Hugo,1502.56,1520.0
Dione Barbosa,1502.5,1520.0
Nick Ring,1502.49,1542.64
Billy Ray Goff,1502.19,1522.24
Adam Fugitt,1502.16,1503.38
Sultan Aliev,1502.12,1502.12
Kenny Robertson,1502.12,1542.19
Buddy Roberts,1502.03,1520.0
Amaury Bitetti,1502.0,1502.0
Bruna Brasil,1501.96,1501.96
Chris Cariaso,1501.93,1563.97
Cheyanne Vlismas,1501.91,1521.98
Mason Jones,1501.84,1523.11
Tanner Boser,1501.74,1545.05
Brianna Fortino,1501.74,1522.29
Tai Bowden,1501.66,1501.66
Darren Stewart,1501.62,1548.63
Molly McCann,1501.56,1557.24
Joe Stevenson,1501.54,1596.65
Lance Gibson,1501.54,1524.0
Guram Kutateladze,1501.52,1520.0
Shinsho Anzai,1501.49,1522.6
Mike van Arsdale,1501.42,1542.62
Guangyou Ning,1501.39,1545.3
Valter Walker,1501.36,1501.36
Joe Moreira,1501.33,1501.33
Nick Sanzo,1501.28,1524.0
Ricardo Abreu,1501.18,1524.0
Ernesta Kareckaite,1501.15,1501.15
Jesus Pinedo,1501.13,1519.15
Luke Barnatt,1501.13,1566.78
Junie Browning,1501.1,1524.0
Jose Torres,1501.08,1523.95
Mitch Gagnon,1501.05,1566.77
Jamey-Lyn Horth,1501.04,1520.0
Tedd Williams,1501.04,1522.22
Bill Algeo,1501.02,1555.36
Lance Benoist,1501.01,1522.75
Serhiy Sidey,1501.0,1501.0
Dan Cramer,1501.0,1519.9
Nicco Montano,1500.93,1518.85
Eddie Yagin,1500.92,1500.92
Semmy Schilt,1500.79,1526.26
Galore Bofando,1500.65,1522.34
Walt Harris,1500.57,1563.75
Joe Duffy,1500.52,1569.38
Wesley Correira,1500.47,1523.68
James Wilks,1500.43,1524.0
Ramon Taveras,1500.27,1520.0
Patrick Walsh,1500.23,1520.0
Fredy Serrano,1500.2,1546.42
Brad Kohler,1500.11,1500.11
Jack Nilson,1500.11,1500.11
Antonina Shevchenko,1500.1,1527.26
Mirko Filipovic,1500.08,1535.4
Sai Wang,1500.07,1500.07
John Lewis,1500.07,1524.0
Luan Chagas,1500.06,1524.12
Montserrat Rendon,1500.01,1521.23
Anthony Torres,1500.0,1524.0
Nate Loughran,1500.0,1524.0
Orlando Wiet,1500.0,1524.0
Steven Graham,1500.0,1524.0
Todd Medina,1500.0,1524.0
Roman Mitichyan,1500.0,1524.0
Joe Slick,1499.97,1525.75
Diego Rivas,1499.93,1543.75
Kevin Jackson,1499.78,1548.0
Shauna Bannon,1499.77,1499.77
Waylon Lowe,1499.75,1518.53
Keith Rockel,1499.72,1499.72
Tony Gravely,1499.69,1541.7
Jason DeLucia,1499.66,1546.34
Rogerio Bontorin,1499.62,1541.2
Katsuhisa Fujii,1499.62,1524.0
Travis Fulton,1499.59,1499.59
Ian Heinisch,1499.5,1548.77
Viviane Pereira,1499.36,1540.54
Josh Culibao,1499.35,1559.87
Sam Hughes,1499.34,1499.34
Evan Elder,1499.23,1499.23
Zak Ottow,1499.23,1526.29
Dan Bobish,1499.16,1523.22
Sirwan Kakai,1499.12,1517.69
Hunter Azure,1499.09,1520.85
Nick Thompson,1499.05,1520.0
Nah-Shon Burrell,1499.05,1520.0
Jonathan Meunier,1499.0,1499.0
Miguel Torres,1498.99,1520.17
David Dvorak,1498.93,1560.94
Melinda Fabian,1498.91,1520.0
Mike Nickels,1498.89,1524.0
Tony Fryklund,1498.87,1524.0
Keith Berish,1498.85,1520.0
Talita Alencar,1498.85,1520.0
Lucas Almeida,1498.81,1525.15
Andrei Semenov,1498.74,1524.42
Abubakar Nurmagomedov,1498.59,1513.22
Mike Ciesnolevicz,1498.57,1524.0
Justin McCully,1498.47,1521.38
Scott Morris,1498.46,1524.0
Nick Denis,1498.45,1522.34
Hector Sandoval,1498.44,1523.77
Melissa Martinez,1498.42,1498.42
Scott Bessac,1498.39,1524.0
Anying Wang,1498.34,1524.0
Roberto Traven,1498.34,1524.0
War Machine,1498.34,1524.0
Loik Radzhabov,1498.17,1520.28
Chris Kelades,1498.16,1521.39
Daria Zhelezniakova,1498.02,1521.22
Cynthia Calvillo,1497.82,1615.94
Antonio Rodrigo Nogueira,1497.82,1562.06
Paul Jones,1497.77,1524.0
Milton Vieira,1497.77,1520.07
Pascal Krauss,1497.76,1521.5
Ariane da Silva,1497.7,1536.86
Naoki Inoue,1497.63,1520.0
Tereza Bleda,1497.6,1497.6
Magomed Gadzhiyasulov,1497.55,1518.62
Veronica Hardy,1497.52,1518.5
Darren Uyenoyama,1497.45,1541.55
Albert Duraev,1497.37,1518.72
Dustin Hazelett,1497.35,1571.3
Shamil Gamzatov,1497.33,1520.22
Trevor Prangley,1497.32,1541.38
Brock Larson,1497.21,1547.34
Francis Marshall,1497.17,1520.88
Eddie Sanchez,1497.12,1544.9
John Gunther,1497.12,1520.0
Shane Nelson,1496.97,1541.31
Jim Alers,1496.97,1520.0
Benardo Sopaj,1496.96,1496.96
Azat Maksum,1496.89,1519.99
Mauricio Rua,1496.86,1578.9
Jesse Taylor,1496.85,1496.85
Mounir Lazzez,1496.85,1524.11
Ben Sosoli,1496.76,1521.43
Jarred Brooks,1496.74,1518.85
Jimy Hettes,1496.73,1542.42
Armen Petrosyan,1496.67,1541.27
Ken Stone,1496.55,1520.29
Nicholas Musoke,1496.48,1542.14
Sijara Eubanks,1496.39,1537.44
Danny Castillo,1496.28,1575.93
Roan Carneiro,1496.23,1525.48
Igor Araujo,1496.21,1541.16
Luke Jumeau,1496.05,1518.46
Daron Cruickshank,1495.98,1575.08
Carlos Hernandez,1495.95,1520.0
Danny Henry,1495.91,1542.62
Benito Lopez,1495.91,1520.03
Kyle Watson,1495.9,1520.0
Nick Maximov,1495.84,1540.49
Gokhan Saki,1495.83,1522.21
Bolaji Oki,1495.71,1520.0
Carlos Newton,1495.71,1536.4
Sam Adkins,1495.65,1524.0
Dongi Yang,1495.64,1505.72
Zhang Lipeng,1495.52,1538.85
Spencer Fisher,1495.46,1595.54
Pablo Garza,1495.32,1546.34
Francisco Figueiredo,1495.31,1518.59
Nick Catone,1495.31,1524.0
Andrei Arlovski,1495.25,1700.0
Nad Narimani,1495.19,1538.85
Paul Varelans,1495.18,1547.99
Mike Pyle,1495.14,1606.93
Reza Madadi,1495.06,1532.25
Pingyuan Liu,1495.02,1538.0
Jordan Rinaldi,1495.0,1510.95
Daniel Barez,1494.9,1494.9
Kevin Ferguson,1494.87,1518.49
Bryan Barberena,1494.84,1580.57
Zachary Reese,1494.83,1520.23
Mana Martinez,1494.81,1517.38
Impa Kasanganay,1494.7,1518.84
Tsuyoshi Kohsaka,1494.69,1540.33
Dave Strasser,1494.62,1520.0
Joe Ellenberger,1494.62,1520.0
Godofredo Pepey,1494.56,1535.1
Rory Singer,1494.48,1541.25
Leah Letson,1494.48,1520.0
Stanislav Nedkov,1494.46,1548.22
Natan Levy,1494.37,1516.49
Wang Cong,1494.29,1520.96
Damir Hadzovic,1494.14,1537.18
Anshul Jubli,1494.13,1524.0
Fabio Maldonado,1494.07,1531.19
Jerrod Sanders,1493.7,1518.23
Eliot Marshall,1493.58,1561.32
Thomas Almeida,1493.41,1582.75
Maryna Moroz,1493.38,1561.46
Shonie Carter,1493.37,1560.18
Marcus Silveira,1493.25,1520.0
Manvel Gamburyan,1493.24,1539.03
David Branch,1493.0,1540.12
Blagoy Ivanov,1492.86,1534.85
Tim Means,1492.69,1606.49
Noad Lahat,1492.69,1516.44
Mark Godbeer,1492.58,1517.81
Kai Kamaka,1492.44,1520.0
Cory McKenna,1492.43,1540.88
David Loiseau,1492.27,1577.16
Cat Zingano,1492.12,1549.53
Joe Proctor,1492.04,1545.75
Valerie Letourneau,1492.0,1556.78
Bubba Bush,1491.96,1518.62
Ivan Jorge,1491.94,1516.49
Aleksandra Albu,1491.57,1539.16
Brad Katona,1491.56,1538.33
Makwan Amirkhani,1491.45,1580.72
Akihiro Gono,1491.4,1525.66
Devonte Smith,1491.34,1547.2
Tiago dos Santos e Silva,1490.88,1520.0
Ramsey Nijem,1490.6,1540.81
Vitor Miranda,1490.56,1555.45
Johnny Bedford,1490.35,1548.0
Elise Reed,1490.35,1498.33
Jason Knight,1490.28,1574.21
Paul Taylor,1490.2,1524.0
Marcelo Guimaraes,1490.13,1518.62
Jon Tuck,1490.1,1526.77
Akira Corassani,1489.99,1559.94
Jason Lambert,1489.76,1565.96
Mike Jackson,1489.55,1516.32
Hugo Viana,1489.44,1542.99
Tarec Saffiedine,1489.16,1529.17
Brian Bowles,1489.14,1543.77
Jason High,1489.02,1506.63
Brandon Vera,1488.9,1590.71
Jimmy Crute,1488.87,1574.18
Danny Roberts,1488.84,1555.57
Ricky Glenn,1488.83,1557.44
Bartosz Fabinski,1488.76,1558.21
Junior Tafa,1488.59,1507.13
Francisco Prado,1488.59,1507.62
Tony DeSouza,1488.51,1542.62
Luigi Fioravanti,1488.36,1530.95
Yuta Sasaki,1488.33,1523.9
Chris Leben,1488.23,1595.29
Raulian Paiva,1488.15,1529.45
Jeremy Horn,1488.09,1555.76
Alex Oliveira,1487.75,1621.01
Maurice Greene,1487.73,1561.25
Leandro Issa,1487.67,1525.91
Oskar Piechota,1487.57,1541.39
Trey Ogden,1487.55,1505.67
Fabiano Iha,1487.54,1537.08
Kai Asakura,1487.33,1487.33
Peter Sobotta,1487.18,1523.23
Luana Pinheiro,1487.15,1551.61
Kyle Noke,1487.12,1570.64
Danilo Marques,1487.09,1537.07
Glaico Franca Moreira,1487.05,1524.0
Maxim Grishin,1487.02,1506.98
Jarjis Danho,1486.87,1486.87
Daniel Roberts,1486.68,1546.37
Jonathan Goulet,1486.66,1523.61
John Howard,1486.63,1579.2
Ron van Clief,1486.58,1486.58
Stephanie Egger,1486.52,1531.63
Jake Hadley,1486.49,1525.5
Daniel Omielanczuk,1486.47,1548.43
Rob Broughton,1486.45,1524.0
Roman Bogatov,1486.24,1486.24
Bobby Moffett,1486.2,1523.79
John Maguire,1486.15,1544.52
Andrew Sanchez,1486.07,1540.37
Court McGee,1486.04,1562.02
Tamdan McCrory,1485.94,1529.93
Shayilan Nuerdanbieke,1485.91,1538.34
Carlos Eduardo Rocha,1485.91,1522.34
John Cholish,1485.89,1524.0
Nick Osipczak,1485.82,1550.34
Renzo Gracie,1485.79,1485.79
Jake Rosholt,1485.74,1508.35
Zach Makovsky,1485.65,1539.88
Ryan Jimmo,1485.57,1527.46
Daniel Pineda,1485.57,1546.6
Gabe Green,1485.51,1526.52
Viktoriia Dudakova,1485.48,1534.82
Kyle Daukaus,1485.38,1535.14
Bekzat Almakhan,1485.37,1485.37
Bassil Hafez,1485.26,1507.14
Felipe dos Santos,1485.25,1503.21
Mickael Lebout,1485.11,1502.79
James Toney,1484.98,1484.98
Chris Haseman,1484.87,1484.87
Livinha Souza,1484.84,1540.04
Rony Jason,1484.79,1566.61
Chris Clements,1484.76,1517.47
Yoshiyuki Yoshida,1484.73,1529.41
Tristan Connelly,1484.66,1521.51
Tony Sims,1484.57,1524.0
Jeff Joslin,1484.53,1484.53
Louis Gaudinot,1484.47,1501.66
Alexander Munoz,1484.44,1484.44
Marco Beltran,1484.27,1563.97
Irwin Rivera,1484.2,1503.18
Carlos Leal,1484.14,1484.14
Luke Cummo,1484.13,1526.68
Augusto Mendes,1484.13,1501.21
Steve Bruno,1484.03,1503.06
Zachary Scroggin,1484.0,1484.0
Mike Ricci,1483.94,1500.0
Neil Seery,1483.93,1524.36
Heath Herring,1483.9,1505.25
Jamie Mullarkey,1483.9,1534.34
Riki Fukuda,1483.88,1500.77
Robert Whiteford,1483.87,1521.49
Renan Barao,1483.84,1644.81
Bruno Santos,1483.82,1502.59
Felice Herrig,1483.8,1582.18
Jason Day,1483.76,1526.27
Gabriel Santos,1483.68,1485.06
Curt Warburton,1483.66,1503.67
Antonio Braga Neto,1483.65,1524.0
Warlley Alves,1483.63,1592.97
Frankie Saenz,1483.63,1561.06
Jorge Patino,1483.59,1483.59
Gil Castillo,1483.56,1502.15
Jamall Emmers,1483.24,1505.63
Pannie Kianzad,1483.16,1542.17
Francisco Rivera,1483.14,1562.7
Tae Hyun Bang,1483.08,1505.38
Miguel Baeza,1483.08,1573.24
Alan Patrick,1483.06,1578.53
Roberto Romero,1483.02,1483.02
John Allan,1483.01,1520.21
Jess Liaudin,1483.01,1548.0
Cyrille Diabate,1482.99,1533.58
Valmir Lazaro,1482.97,1503.0
Spike Carlyle,1482.89,1524.0
Maximo Blanco,1482.85,1529.49
Nick Pace,1482.78,1524.0
Westin Wilson,1482.71,1482.71
Chris Barnett,1482.66,1505.74
Ivan Menjivar,1482.58,1552.03
Dan Miller,1482.51,1565.04
Azunna Anyanwu,1482.44,1482.44
Jonathan Brookins,1482.38,1524.69
Caolan Loughran,1482.37,1503.38
Austin Bashi,1482.34,1482.34
Carlos Vera,1482.31,1482.31
Clay Guida,1482.3,1605.09
Robert McDaniel,1482.29,1524.0
Shamil Abdurakhimov,1482.28,1568.45
Keith Jardine,1482.13,1566.53
Yuki Kondo,1482.08,1524.0
John Gunderson,1482.04,1500.07
Renato Verissimo,1482.01,1520.96
Daichi Abe,1482.0,1520.05
Kalib Starnes,1481.98,1524.0
Tom Gallicchio,1481.97,1481.97
Marco Polo Reyes,1481.96,1560.92
Greg Soto,1481.83,1504.51
Michinori Tanaka,1481.81,1521.13
Cody Gibson,1481.8,1508.3
Da Woon Jung,1481.72,1567.1
Sam Hoger,1481.66,1521.87
Jake Hecht,1481.65,1526.79
Cindy Dandois,1481.63,1481.63
James Te Huna,1481.62,1579.2
Denis Kang,1481.48,1499.1
Trevin Giles,1481.44,1567.52
Andre Pederneiras,1481.4,1481.4
Mike Whitehead,1481.38,1481.38
John Marsh,1481.38,1481.38
Josh Shockman,1481.38,1481.38
Nikolay Veretennikov,1481.38,1481.38
Yuki Sasaki,1481.37,1481.37
Ravena Oliveira,1481.3,1481.3
Mads Burnell,1481.29,1501.09
Julian Sanchez,1481.26,1481.26
Marcel Fortuna,1481.26,1522.8
Danyelle Wolf,1481.22,1481.22
Mitch Raposo,1481.15,1481.15
Zviad Lazishvili,1481.15,1481.15
Adrian Serrano,1481.15,1481.15
Luiz Cane,1481.13,1550.44
Mackens Semerzier,1481.09,1524.0
Masanori Kanehara,1481.04,1520.48
Parker Porter,1481.02,1531.46
Ivan Salaverry,1481.0,1556.14
Caros Fodor,1480.99,1480.99
Phil Hawes,1480.99,1561.49
Satoshi Honma,1480.96,1480.96
Minoki Ichihara,1480.9,1480.9
Hyun Gyu Lim,1480.85,1549.02
John Lober,1480.77,1480.77
Batgerel Danaa,1480.75,1545.21
Matt Veach,1480.72,1523.73
Carlos Mota,1480.72,1480.72
Dustin Kimura,1480.72,1525.3
Mike Easton,1480.68,1563.08
Charles McCarthy,1480.66,1500.28
Eddie Ruiz,1480.64,1480.64
Cody Stamann,1480.59,1565.42
Yaotzin Meza,1480.49,1521.69
Chris Gruetzemacher,1480.44,1520.0
Sheymon Moraes,1480.41,1521.36
Antonio McKee,1480.4,1480.4
Rameau Thierry Sokoudjou,1480.39,1504.2
Joe Merritt,1480.32,1480.32
Joao Roque,1480.31,1480.31
Carlo Prater,1480.3,1521.38
Marcus Brimage,1480.29,1558.91
Trevor Peek,1480.28,1521.13
AJ Cunningham,1480.18,1480.18
Jeff Hougland,1480.17,1520.0
Nick Hein,1480.13,1556.9
Rory Markham,1480.1,1524.0
Josh Hendricks,1480.1,1480.1
Adam Yandiev,1480.03,1480.03
Alexandre Barros,1480.03,1480.03
Jose Daniel Medina,1480.01,1480.01
Heather Clark,1480.01,1520.0
James Hammortree,1480.0,1480.0
Cory Hendricks,1480.0,1480.0
Justin Wren,1480.0,1480.0
Alex Gorgees,1480.0,1480.0
John Teixeira,1480.0,1480.0
Chuck O'Neil,1480.0,1480.0
DeAnna Bennett,1480.0,1480.0
Ryan McGillivray,1480.0,1480.0
Antonio Banuelos,1480.0,1480.0
Igor Severino,1480.0,1480.0
Sako Chivitchian,1480.0,1480.0
Stephen Bass,1480.0,1480.0
James Mulheron,1480.0,1480.0
Pedro Falcao,1480.0,1480.0
Joe Giannetti,1480.0,1480.0
Mark Scanlon,1480.0,1480.0
Tyler Toner,1480.0,1480.0
Chris Tickle,1480.0,1480.0
Tyler Diamond,1480.0,1480.0
Allan Zuniga,1480.0,1480.0
Jay Cucciniello,1480.0,1480.0
Wallid Ismail,1480.0,1480.0
Fabio Gurgel,1480.0,1480.0
Robert Drysdale,1480.0,1480.0
Daniel Spohn,1480.0,1480.0
Noe Hernandez,1480.0,1480.0
Jon Manley,1480.0,1480.0
Allan Goes,1480.0,1480.0
Jianping Yang,1480.0,1480.0
Brendan Loughnane,1480.0,1480.0
Dante Rivera,1480.0,1480.0
Abner Lloveras,1480.0,1480.0
Marcin Wrzosek,1480.0,1480.0
Dave Galera,1480.0,1480.0
Tina Lahdemaki,1480.0,1480.0
Nazareno Malegarie,1480.0,1480.0
Dan Barrera,1480.0,1480.0
Chris Spang,1480.0,1480.0
Steve Byrnes,1480.0,1480.0
Bobby Southworth,1480.0,1480.0
Hailey Cowan,1480.0,1480.0
Collin Hart,1480.0,1480.0
Rocky Lee,1480.0,1480.0
Alex Torres,1480.0,1480.0
Roger Gracie,1480.0,1480.0
Peggy Morgan,1480.0,1480.0
James Zikic,1480.0,1480.0
Richard Crunkilton,1480.0,1480.0
Romie Aram,1480.0,1480.0
Rodolfo Rubio Perez,1480.0,1480.0
Alex Stiebling,1480.0,1480.0
Jose Ochoa,1480.0,1480.0
Baergeng Jieleyisi,1480.0,1480.0
Willamy Freire,1479.91,1479.91
Cole Smith,1479.91,1521.28
Junior Assuncao,1479.89,1498.48
Dean Barry,1479.78,1479.78
Tyson Nam,1479.78,1522.54
Jimmy Flick,1479.78,1525.54
Cortavious Romious,1479.67,1479.67
Simeon Thoresen,1479.62,1524.0
Shannon Gugerty,1479.6,1524.2
Ivana Petrovic,1479.57,1499.71
Maheshate,1479.52,1524.39
Niklas Backstrom,1479.47,1525.59
Anthony Macias,1479.47,1501.66
Joseph Morales,1479.45,1524.0
Paul Creighton,1479.35,1479.35
Lara Procopio,1479.32,1501.87
Jason Brilz,1479.26,1542.5
Augusto Montano,1479.19,1522.5
Kimo Leopoldo,1479.19,1499.76
Greg Stott,1479.19,1479.19
Joe Soto,1479.15,1524.01
Robelis Despaigne,1479.13,1520.95
Homer Moore,1479.12,1479.12
Steve Vigneault,1479.07,1479.07
Emily Ducote,1479.07,1520.21
Cristian Quinonez,1479.02,1520.64
Carlos Barreto,1479.01,1479.01
Maciej Jewtuszko,1479.0,1479.0
Benji Radach,1478.99,1500.07
Angel Pacheco,1478.99,1478.99
Hector Urbina,1478.98,1521.11
Rex Holman,1478.93,1478.93
Danielle Taylor,1478.91,1519.92
Alex Andrade,1478.9,1478.9
Wagner Prado,1478.9,1524.74
Nissen Osterneck,1478.89,1478.89
Jordan Vucenic,1478.87,1478.87
BJ Penn,1478.86,1661.41
Yuri Vaulin,1478.86,1478.86
Nicolle Caliari,1478.85,1478.85
Chris Camozzi,1478.85,1578.29
Khusein Askhabov,1478.82,1478.82
Nick Serra,1478.78,1478.78
Alexandre Ferreira,1478.78,1478.78
Hayato Sakurai,1478.76,1478.76
Sheldon Westcott,1478.73,1478.73
Guilherme Vasconcelos,1478.72,1478.72
Katsunori Kikuno,1478.72,1522.26
Henry Martinez,1478.66,1501.38
David Bielkheden,1478.66,1502.87
Chris Brennan,1478.65,1524.0
Matt Lucas,1478.62,1478.62
Liliya Shakirova,1478.61,1478.61
Andrew Craig,1478.56,1547.99
Nyamjargal Tumendemberel,1478.53,1478.53
Robert Sanchez,1478.51,1499.92
Per Eklund,1478.48,1502.66
Steve Berger,1478.45,1501.15
Ian Entwistle,1478.45,1501.66
Matt Arroyo,1478.44,1524.0
Mitch Ramirez,1478.44,1478.44
Ben Alloway,1478.44,1524.0
Gilbert Urbina,1478.41,1501.29
John Salter,1478.39,1502.15
Cole Miller,1478.35,1580.41
Rudyard Moncayo,1478.33,1478.33
Mike Wessel,1478.28,1478.28
Rolando Delgado,1478.25,1524.0
Cal Worsham,1478.22,1500.0
Brandon Melendez,1478.13,1478.13
Marion Reneau,1478.13,1586.71
Nick Agallar,1478.1,1478.1
Pete Rodriguez,1478.1,1502.77
Lewis Gonzalez,1478.09,1478.09
James Head,1478.07,1526.58
Billy Elekana,1478.06,1478.06
Eduardo Garagorri,1478.03,1518.85
Ryan Parker,1477.96,1477.96
Hugo Duarte,1477.94,1477.94
Don'Tale Mayes,1477.93,1501.84
Askar Mozharov,1477.92,1477.92
Igor Zinoviev,1477.88,1477.88
Toshiomi Kazama,1477.87,1477.87
Jason Von Flue,1477.82,1523.77
Isabela de Padua,1477.82,1477.82
Robert Bryczek,1477.8,1477.8
Bibulatov Magomed,1477.79,1521.08
Melton Bowen,1477.77,1477.77
Neil Wain,1477.76,1477.76
Carli Judice,1477.7,1477.7
Jim Mullen,1477.7,1477.7
Yan Cabral,1477.67,1518.57
John Dowdy,1477.66,1477.66
Frank Caracci,1477.66,1477.66
Fred Ettish,1477.66,1477.66
Scott Baker,1477.66,1477.66
Brian Gassaway,1477.66,1477.66
Joe Son,1477.66,1477.66
Ozzy Diaz,1477.66,1477.66
Marcus Bossett,1477.66,1524.0
Steven Nguyen,1477.64,1477.64
Ian Loveland,1477.63,1520.0
Reginaldo Vieira,1477.63,1520.0
Brendson Ribeiro,1477.59,1477.59
Roger Narvaez,1477.58,1498.54
Chad Anheliger,1477.57,1522.47
Geraldo de Freitas,1477.56,1520.0
Lucas Rocha,1477.55,1477.55
Rob MacDonald,1477.55,1501.66
Keiichiro Yamamiya,1477.54,1477.54
Koji Kitao,1477.53,1477.53
Martin Sano,1477.52,1477.52
Shamar Bailey,1477.45,1520.0
Anton Kuivanen,1477.44,1499.77
Stewart Nicoll,1477.4,1477.4
Rafael Cerqueira,1477.38,1477.38
Rainy Martinez,1477.38,1477.38
Bill Mahood,1477.38,1477.38
Paul Rodriguez,1477.38,1477.38
Hacran Dias,1477.35,1534.5
Pawel Pawlak,1477.31,1496.74
