Fighter,Final ELO,Peak ELO
Rick Story,1598.8,1615.96
Chuck Liddell,1598.53,1741.7
Jessica Andrade,1598.5,1653.76
Miranda Maverick,1597.54,1597.54
Khaos Williams,1597.46,1597.46
Dominick Reyes,1597.42,1632.3
Matthew Riddle,1597.26,1597.26
Phil Davis,1597.07,1619.15
Tim Sylvia,1596.77,1629.84
Santiago Ponzinibbio,1596.42,1659.03
Rafael Dos Anjos,1596.42,1708.12
Kelvin Gastelum,1596.34,1674.63
Steve Garcia,1596.32,1596.32
Azamat Murzakanov,1596.22,1596.22
Jared Cannonier,1594.98,1644.3
Jake Matthews,1594.87,1609.99
Dominick Cruz,1594.82,1616.06
Omari Akhmedov,1594.75,1615.72
Pat Miletich,1594.69,1634.58
Muslim Salikhov,1594.47,1600.14
Stephen Thompson,1594.26,1676.55
Matt Lindland,1594.16,1595.63
Macy Chiasson,1593.97,1593.97
Dan Severn,1593.76,1647.55
Shane Burgos,1593.66,1600.35
Jorge Masvidal,1593.48,1658.53
Marvin Vettori,1593.29,1612.57
Elias Theodorou,1592.8,1614.59
Sean Woodson,1592.76,1592.76
Diego Ferreira,1592.43,1640.77
Edson Barboza,1592.29,1656.45
Anthony Rocco Martin,1592.01,1609.89
Michel Prazeres,1591.82,1650.23
Erik Perez,1591.76,1591.76
Mackenzie Dern,1591.44,1599.32
Corey Anderson,1590.54,1615.56
Thiago Silva,1590.38,1590.38
Chad Mendes,1589.89,1633.42
Germaine de Randamie,1589.85,1611.73
Rinat Fakhretdinov,1588.8,1588.8
Mark Kerr,1588.24,1588.24
JunYong Park,1587.85,1589.48
Nathaniel Wood,1587.23,1594.09
Rashid Magomedov,1586.86,1586.86
Urijah Faber,1586.66,1618.3
Marcus McGhee,1586.5,1586.5
Paul Felder,1586.4,1624.21
Shara Magomedov,1586.11,1586.11
John Hathaway,1585.69,1607.93
Junior Dos Santos,1585.59,1694.42
Tagir Ulanbekov,1585.22,1585.22
Andre Muniz,1585.05,1612.7
Yushin Okami,1584.59,1659.44
Anderson Silva,1584.52,1793.7
Chase Hooper,1584.42,1584.42
Katlyn Cerminara,1584.27,1625.64
Vitor Belfort,1584.19,1669.72
Chepe Mariscal,1584.17,1584.17
Martin Kampmann,1584.15,1632.54
Bo Nickal,1584.15,1584.15
Amanda Lemos,1584.04,1610.95
William Gomis,1583.71,1583.71
Chan Sung Jung,1583.59,1615.77
Sean Sherk,1583.5,1584.49
Amir Albazi,1583.35,1602.74
Cub Swanson,1583.27,1639.57
Alexa Grasso,1583.27,1614.95
Jasmine Jasudavicius,1582.82,1582.82
Aiemann Zahabi,1582.73,1582.73
Serghei Spivac,1582.69,1604.66
Matt Hamill,1582.25,1640.16
Farid Basharat,1582.24,1582.24
Asu Almabayev,1581.75,1581.75
David Teymur,1581.41,1604.06
Joanderson Brito,1581.0,1603.41
Pedro Rizzo,1580.87,1615.65
Frankie Edgar,1580.86,1699.39
Thales Leites,1580.19,1647.84
Rousimar Palhares,1579.32,1605.3
Daniel Rodriguez,1579.17,1625.88
Alan Belcher,1579.12,1617.64
Marcos Rogerio de Lima,1579.01,1581.13
Jordan Johnson,1578.94,1578.94
Carla Esparza,1578.89,1629.22
Kyler Phillips,1578.79,1599.59
