event,fighter_1,fighter_2,result,method,round,time,fighter_1_elo_start,fighter_2_elo_start,fighter_1_elo_end,fighter_2_elo_end
UFC 6: Clash of the Titans,Joel Sutton,Jack McGlaughlin,win,KO/TKO,1,2:01,1500.0,1500.0,1525.0,1475.0
UFC 6: Clash of the Titans,Anthony Macias,He-Man Gipson,win,KO/TKO,1,3:06,1475.0,1500.0,1501.8,1473.2
UFC 6: Clash of the Titans,David Abbott,John Matua,win,KO/TKO,1,0:20,1500.0,1500.0,1525.0,1475.0
UFC 6: Clash of the Titans,Paul Varelans,Cal Worsham,win,KO/TKO,1,1:02,1500.0,1500.0,1525.0,1475.0
UFC 6: Clash of the Titans,Patrick Smith,Rudyard Moncayo,win,SUB,1,1:08,1535.67,1500.0,1558.11,1477.56
UFC 6: Clash of the Titans,Oleg Taktarov,Dave Beneteau,win,SUB,1,0:57,1502.47,1527.29,1529.25,1500.51
UFC 6: Clash of the Titans,David Abbott,Paul Varelans,win,KO/TKO,1,1:53,1525.0,1525.0,1550.0,1500.0
UFC 6: Clash of the Titans,Oleg Taktarov,Anthony Macias,win,SUB,1,0:09,1529.25,1501.8,1552.28,1478.77
UFC 6: Clash of the Titans,Ken Shamrock,Dan Severn,win,SUB,1,2:14,1552.65,1604.66,1581.36,1575.95
UFC 6: Clash of the Titans,Oleg Taktarov,David Abbott,win,SUB,1,17:45,1552.28,1550.0,1577.12,1525.16
UFC 7: The Brawl in Buffalo,Joel Sutton,Geza Kalman,win,KO/TKO,1,0:48,1525.0,1500.0,1548.2,1476.8
UFC 7: The Brawl in Buffalo,Onassis Parungao,Francesco Maturi,win,KO/TKO,1,5:26,1500.0,1500.0,1525.0,1475.0
UFC 7: The Brawl in Buffalo,Scott Bessac,David Hood,win,SUB,1,0:31,1500.0,1500.0,1525.0,1475.0
UFC 7: The Brawl in Buffalo,Paul Varelans,Gerry Harris,win,KO/TKO,1,1:05,1500.0,1500.0,1525.0,1475.0
UFC 7: The Brawl in Buffalo,Mark Hall,Harold Howard,win,KO/TKO,1,1:41,1500.0,1498.2,1524.87,1473.33
UFC 7: The Brawl in Buffalo,Remco Pardoel,Ryan Parker,win,SUB,1,3:05,1529.72,1500.0,1552.59,1477.13
UFC 7: The Brawl in Buffalo,Marco Ruas,Larry Cureton,win,SUB,1,3:23,1500.0,1475.0,1523.2,1451.8
UFC 7: The Brawl in Buffalo,Paul Varelans,Mark Hall,win,SUB,1,1:01,1525.0,1524.87,1549.99,1499.88
UFC 7: The Brawl in Buffalo,Marco Ruas,Remco Pardoel,win,SUB,1,12:27,1523.2,1552.59,1550.31,1525.48
UFC 7: The Brawl in Buffalo,Ken Shamrock,Oleg Taktarov,draw,Other,2,3:00,1581.36,1577.12,1581.24,1577.24
UFC 7: The Brawl in Buffalo,Marco Ruas,Paul Varelans,win,KO/TKO,1,13:17,1550.31,1549.99,1575.29,1525.01
UFC - Ultimate Ultimate '95,Joe Charles,Scott Bessac,win,SUB,1,4:38,1500.73,1525.0,1527.47,1498.26
UFC - Ultimate Ultimate '95,Mark Hall,Trent Jenkins,win,SUB,1,5:29,1499.88,1475.0,1523.09,1451.79
UFC - Ultimate Ultimate '95,David Abbott,Steve Jennum,win,SUB,1,1:14,1525.16,1549.88,1551.94,1523.1
UFC - Ultimate Ultimate '95,Dan Severn,Paul Varelans,win,SUB,1,1:01,1575.95,1525.01,1597.31,1503.65
UFC - Ultimate Ultimate '95,Marco Ruas,Keith Hackney,win,SUB,1,2:39,1575.29,1532.5,1597.23,1510.56
UFC - Ultimate Ultimate '95,Oleg Taktarov,Dave Beneteau,win,SUB,1,1:15,1577.24,1500.51,1596.81,1480.94
UFC - Ultimate Ultimate '95,Dan Severn,David Abbott,win,U-DEC,1,18:00,1597.31,1551.94,1614.71,1534.54
UFC - Ultimate Ultimate '95,Oleg Taktarov,Marco Ruas,win,U-DEC,1,18:00,1596.81,1597.23,1616.83,1577.21
UFC - Ultimate Ultimate '95,Dan Severn,Oleg Taktarov,win,U-DEC,2,3:00,1614.71,1616.83,1634.83,1596.71
UFC 8: David vs Goliath,Sam Adkins,Keith Mielke,win,KO/TKO,1,0:50,1500.0,1500.0,1525.0,1475.0
UFC 8: David vs Goliath,Don Frye,Thomas Ramirez,win,KO/TKO,1,0:08,1500.0,1500.0,1525.0,1475.0
UFC 8: David vs Goliath,Paul Varelans,Joe Moreira,win,U-DEC,1,10:00,1503.65,1500.0,1523.44,1480.21
UFC 8: David vs Goliath,Jerry Bohlander,Scott Ferrozzo,win,SUB,1,9:03,1500.0,1500.0,1525.0,1475.0
UFC 8: David vs Goliath,Gary Goodridge,Paul Herrera,win,KO/TKO,1,0:13,1500.0,1500.0,1525.0,1475.0
UFC 8: David vs Goliath,Don Frye,Sam Adkins,win,KO/TKO,1,0:48,1525.0,1525.0,1550.0,1500.0
UFC 8: David vs Goliath,Gary Goodridge,Jerry Bohlander,win,KO/TKO,1,5:31,1525.0,1525.0,1550.0,1500.0
UFC 8: David vs Goliath,Ken Shamrock,Kimo Leopoldo,win,SUB,1,4:24,1581.24,1485.52,1599.52,1467.24
UFC 8: David vs Goliath,Don Frye,Gary Goodridge,win,KO/TKO,1,2:14,1550.0,1550.0,1575.0,1525.0
UFC 9: Motor City Madness,Steve Nelmark,Tai Bowden,win,KO/TKO,1,7:25,1500.0,1500.0,1525.0,1475.0
UFC 9: Motor City Madness,Cal Worsham,Zane Frazier,win,KO/TKO,1,3:14,1475.0,1475.0,1500.0,1450.0
UFC 9: Motor City Madness,Rafael Carino,Matt Andersen,win,KO/TKO,1,5:32,1500.0,1500.0,1525.0,1475.0
UFC 9: Motor City Madness,Mark Schultz,Gary Goodridge,win,KO/TKO,1,12:00,1500.0,1525.0,1526.8,1498.2
UFC 9: Motor City Madness,Mark Hall,Koji Kitao,win,KO/TKO,1,0:47,1523.09,1500.0,1546.43,1476.66
UFC 9: Motor City Madness,Don Frye,Amaury Bitetti,win,KO/TKO,1,9:30,1575.0,1500.0,1594.69,1480.31
UFC 9: Motor City Madness,Dan Severn,Ken Shamrock,win,S-DEC,3,3:00,1634.83,1599.52,1652.8,1581.55
UFC 10: The Tournament,Geza Kalman,Dieusel Berto,win,KO/TKO,1,5:57,1476.8,1500.0,1503.47,1473.33
UFC 10: The Tournament,Sam Adkins,Felix Lee Mitchell,win,U-DEC,2,3:00,1500.0,1476.8,1518.67,1458.13
UFC 10: The Tournament,Don Frye,Mark Hall,win,KO/TKO,1,10:21,1594.69,1546.43,1616.24,1524.88
UFC 10: The Tournament,Brian Johnston,Scott Fiedler,win,KO/TKO,1,2:25,1500.0,1500.0,1525.0,1475.0
UFC 10: The Tournament,Mark Coleman,Moti Horenstein,win,KO/TKO,1,2:43,1500.0,1500.0,1525.0,1475.0
UFC 10: The Tournament,Gary Goodridge,John Campetella,win,KO/TKO,1,1:28,1498.2,1500.0,1523.33,1474.87
UFC 10: The Tournament,Don Frye,Brian Johnston,win,KO/TKO,1,4:37,1616.24,1525.0,1634.82,1506.42
UFC 10: The Tournament,Mark Coleman,Gary Goodridge,win,SUB,1,7:00,1525.0,1523.33,1549.88,1498.45
UFC 10: The Tournament,Mark Coleman,Don Frye,win,KO/TKO,1,11:34,1549.88,1634.82,1580.87,1603.83
UFC 11: The Proving Ground,Scott Ferrozzo,Sam Fulton,win,SUB,1,1:45,1475.0,1500.0,1501.8,1473.2
UFC 11: The Proving Ground,Roberto Traven,Dave Berry,win,KO/TKO,1,1:33,1500.0,1500.0,1525.0,1475.0
UFC 11: The Proving Ground,Mark Coleman,Julian Sanchez,win,SUB,1,0:45,1580.87,1500.0,1600.15,1480.72
UFC 11: The Proving Ground,Brian Johnston,Reza Nasri,win,KO/TKO,1,0:28,1506.42,1500.0,1530.96,1475.46
UFC 11: The Proving Ground,David Abbott,Sam Adkins,win,SUB,1,2:06,1534.54,1518.67,1558.4,1494.81
UFC 11: The Proving Ground,Jerry Bohlander,Fabio Gurgel,win,U-DEC,1,15:00,1500.0,1500.0,1520.0,1480.0
UFC 11: The Proving Ground,Mark Coleman,Brian Johnston,win,KO/TKO,1,2:20,1600.15,1530.96,1620.24,1510.87
UFC 11: The Proving Ground,Scott Ferrozzo,David Abbott,win,U-DEC,2,3:00,1501.8,1558.4,1525.03,1535.17
UFC - Ultimate Ultimate '96,Mark Hall,Felix Lee Mitchell,win,KO/TKO,1,1:45,1524.88,1458.13,1545.14,1437.87
UFC - Ultimate Ultimate '96,Steve Nelmark,Marcus Bossett,win,SUB,1,1:37,1525.0,1500.0,1548.2,1476.8
UFC - Ultimate Ultimate '96,Tai Bowden,Jack Nilson,win,KO/TKO,1,4:46,1475.0,1500.0,1501.8,1473.2
UFC - Ultimate Ultimate '96,Don Frye,Gary Goodridge,win,SUB,1,11:19,1603.83,1498.45,1621.47,1480.81
UFC - Ultimate Ultimate '96,David Abbott,Cal Worsham,win,KO/TKO,1,2:51,1535.17,1500.0,1557.65,1477.52
UFC - Ultimate Ultimate '96,Kimo Leopoldo,Paul Varelans,win,KO/TKO,1,9:08,1467.24,1523.44,1496.25,1494.43
UFC - Ultimate Ultimate '96,Ken Shamrock,Brian Johnston,win,SUB,1,5:48,1581.55,1510.87,1601.53,1490.89
UFC - Ultimate Ultimate '96,Don Frye,Mark Hall,win,SUB,1,0:20,1621.47,1545.14,1641.06,1525.55
UFC - Ultimate Ultimate '96,David Abbott,Steve Nelmark,win,KO/TKO,1,1:03,1557.65,1548.2,1581.97,1523.88
UFC - Ultimate Ultimate '96,Don Frye,David Abbott,win,SUB,1,1:22,1641.06,1581.97,1661.85,1561.18
UFC 12: Judgement Day,Nick Sanzo,Jackie Lee,win,KO/TKO,1,0:48,1500.0,1500.0,1525.0,1475.0
UFC 12: Judgement Day,Justin Martin,Eric Martin,win,SUB,1,0:14,1500.0,1500.0,1525.0,1475.0
UFC 12: Judgement Day,Jerry Bohlander,Rainy Martinez,win,SUB,1,1:24,1520.0,1500.0,1543.56,1476.44
UFC 12: Judgement Day,Yoshiki Takahashi,Wallid Ismail,win,U-DEC,2,3:00,1500.0,1500.0,1520.0,1480.0
UFC 12: Judgement Day,Scott Ferrozzo,Jim Mullen,win,KO/TKO,1,8:02,1525.03,1500.0,1548.23,1476.8
UFC 12: Judgement Day,Vitor Belfort,Tra Telligman,win,KO/TKO,1,1:17,1500.0,1500.0,1525.0,1475.0
UFC 12: Judgement Day,Jerry Bohlander,Nick Sanzo,win,SUB,1,0:39,1543.56,1525.0,1567.23,1501.33
UFC 12: Judgement Day,Vitor Belfort,Scott Ferrozzo,win,KO/TKO,1,0:43,1525.0,1548.23,1551.67,1521.56
UFC 12: Judgement Day,Mark Coleman,Dan Severn,win,SUB,1,2:57,1620.24,1652.8,1647.58,1625.46
UFC 13: The Ultimate Force,Tito Ortiz,Wes Albritton,win,KO/TKO,1,0:31,1500.0,1500.0,1525.0,1475.0
UFC 13: The Ultimate Force,Jack Nilson,Saeed Hosseini,win,KO/TKO,1,1:23,1473.2,1500.0,1500.12,1473.08
UFC 13: The Ultimate Force,Guy Mezger,Christophe Leninger,win,U-DEC,2,3:00,1548.2,1475.0,1564.05,1459.15
UFC 13: The Ultimate Force,Enson Inoue,Royce Alger,win,SUB,1,1:36,1500.0,1500.0,1525.0,1475.0
UFC 13: The Ultimate Force,Steven Graham,Dmitri Stepanov,win,SUB,1,1:30,1500.0,1500.0,1525.0,1475.0
UFC 13: The Ultimate Force,Randy Couture,Tony Halme,win,SUB,1,0:56,1500.0,1500.0,1525.0,1475.0
UFC 13: The Ultimate Force,Guy Mezger,Tito Ortiz,win,SUB,1,2:00,1564.05,1525.0,1586.25,1502.8
UFC 13: The Ultimate Force,Randy Couture,Steven Graham,win,KO/TKO,1,3:13,1525.0,1525.0,1550.0,1500.0
UFC 13: The Ultimate Force,Vitor Belfort,David Abbott,win,KO/TKO,1,0:52,1551.67,1561.18,1577.35,1535.5
UFC 14: Showdown,Tony Fryklund,Donnie Chappell,win,SUB,1,1:31,1500.0,1500.0,1525.0,1475.0
UFC 14: Showdown,Alex Hunter,Sam Fulton,win,SUB,1,2:30,1500.0,1473.2,1523.08,1450.12
UFC 14: Showdown,Joe Moreira,Yuri Vaulin,win,U-DEC,2,3:00,1480.21,1500.0,1501.35,1478.86
UFC 14: Showdown,Kevin Jackson,Todd Butler,win,KO/TKO,1,1:27,1500.0,1500.0,1525.0,1475.0
UFC 14: Showdown,Mark Kerr,Moti Horenstein,win,KO/TKO,1,2:22,1500.0,1475.0,1523.2,1451.8
UFC 14: Showdown,Dan Bobish,Brian Johnston,win,SUB,1,2:10,1500.0,1490.89,1524.34,1466.55
UFC 14: Showdown,Kevin Jackson,Tony Fryklund,win,SUB,1,0:44,1525.0,1525.0,1550.0,1500.0
UFC 14: Showdown,Mark Kerr,Dan Bobish,win,SUB,1,1:38,1523.2,1524.34,1548.28,1499.26
UFC 14: Showdown,Maurice Smith,Mark Coleman,win,U-DEC,3,3:00,1500.0,1647.58,1528.02,1619.56
UFC 15: Collision Course,Alex Hunter,Harry Moskowitz,win,S-DEC,1,12:00,1523.08,1500.0,1541.75,1481.33
UFC 15: Collision Course,Dwayne Cason,Houston Dorr,win,KO/TKO,1,3:43,1500.0,1500.0,1525.0,1475.0
UFC 15: Collision Course,Mark Kerr,Greg Stott,win,KO/TKO,1,0:17,1548.28,1500.0,1569.83,1478.45
UFC 15: Collision Course,Dave Beneteau,Carlos Barreto,win,U-DEC,2,3:00,1480.94,1500.0,1502.04,1478.9
UFC 15: Collision Course,Randy Couture,Vitor Belfort,win,KO/TKO,1,8:16,1550.0,1577.35,1576.96,1550.39
UFC 15: Collision Course,Mark Kerr,Dwayne Cason,win,SUB,1,0:53,1569.83,1525.0,1591.62,1503.21
UFC 15: Collision Course,Maurice Smith,David Abbott,win,SUB,1,8:08,1528.02,1535.5,1553.56,1509.96
UFC - Ultimate Japan,Tra Telligman,Brad Kohler,win,SUB,1,10:05,1475.0,1500.0,1501.8,1473.2
UFC - Ultimate Japan,David Abbott,Yoji Anjo,win,U-DEC,2,3:00,1509.96,1500.0,1529.39,1480.57
UFC - Ultimate Japan,Kazushi Sakuraba,Marcus Silveira,nc,Overturned,1,1:51,1500.0,1500.0,1500.0,1500.0
UFC - Ultimate Japan,Frank Shamrock,Kevin Jackson,win,SUB,1,0:16,1500.0,1550.0,1528.57,1521.43
UFC - Ultimate Japan,Vitor Belfort,Joe Charles,win,SUB,1,4:03,1550.39,1527.47,1573.74,1504.12
UFC - Ultimate Japan,Kazushi Sakuraba,Marcus Silveira,win,SUB,1,3:44,1500.0,1500.0,1525.0,1475.0
UFC - Ultimate Japan,Randy Couture,Maurice Smith,win,M-DEC,3,3:00,1576.96,1553.56,1595.62,1534.9
