Fighter,Final ELO,Peak ELO
Jared Cannonier,1601.11,1650.34
Ricardo Lamas,1600.98,1639.67
Rick Story,1600.53,1618.19
Fares Ziam,1600.17,1600.17
Gunnar Nelson,1599.91,1624.51
Thiago Silva,1599.48,1599.48
Bryce Mitchell,1599.26,1617.18
Rafael Dos Anjos,1598.86,1712.91
Jorge Masvidal,1598.05,1663.74
Tim Sylvia,1597.88,1633.24
Ludovit Klein,1597.67,1598.3
Jean Silva,1597.46,1623.99
Giga Chikadze,1597.28,1643.26
Asu Almabayev,1596.87,1596.87
Christian Leroy Duncan,1596.4,1596.4
Dominick Cruz,1596.18,1617.99
Forrest Griffin,1596.02,1606.82
Anthony Rocco Martin,1595.7,1613.71
Shane Burgos,1595.56,1602.16
Martin Buday,1594.25,1594.25
Marcin Tybura,1594.18,1628.0
Elias Theodorou,1594.09,1615.8
Alexander Hernandez,1593.72,1593.72
Chad Mendes,1593.38,1637.77
Chuck Liddell,1593.31,1738.9
Erik Perez,1593.03,1593.03
Vinicius Oliveira,1592.92,1592.92
Matt Lindland,1592.56,1593.88
Germaine de Randamie,1592.56,1614.62
Nazim Sadykhov,1592.53,1592.53
Denise Gomes,1592.26,1592.26
Jacqueline Cavalcanti,1592.03,1592.03
Michel Prazeres,1591.94,1651.62
Volkan Oezdemir,1591.67,1591.67
Mark Kerr,1591.55,1591.55
Manel Kape,1591.5,1591.5
Reinier de Ridder,1591.09,1612.04
Urijah Faber,1590.96,1623.53
Corey Anderson,1590.71,1616.55
Daniel Marcos,1590.7,1590.7
Geoff Neal,1590.68,1634.63
Brandon Royval,1590.33,1610.89
Paulo Costa,1590.2,1620.34
Josh Emmett,1589.96,1657.51
Yan Xiaonan,1589.9,1609.89
Nasrat Haqparast,1589.33,1619.65
Paul Felder,1588.98,1626.42
Frankie Edgar,1588.79,1716.37
Jairzinho Rozenstruik,1588.56,1613.71
Ikram Aliskerov,1588.44,1588.44
Rashid Magomedov,1588.03,1588.03
Julianna Pena,1587.58,1617.16
Chan Sung Jung,1586.9,1620.31
Edmen Shahbazyan,1586.88,1592.91
Amanda Lemos,1586.43,1613.97
Muslim Salikhov,1586.3,1616.54
Martin Kampmann,1586.05,1636.57
Amir Albazi,1585.93,1605.17
Sean Sherk,1585.93,1586.58
Tabatha Ricci,1585.91,1585.91
Rafael Fiziev,1585.25,1624.92
Cub Swanson,1585.2,1641.14
Junior Dos Santos,1584.85,1698.79
John Hathaway,1584.64,1608.76
Ricky Simon,1584.48,1638.11
Chris Padilla,1584.48,1584.48
Bo Nickal,1584.47,1585.83
Karine Silva,1584.24,1590.4
Yushin Okami,1584.11,1661.54
JunYong Park,1583.66,1605.94
Alan Belcher,1583.65,1622.64
Thales Leites,1583.14,1651.91
Matt Hamill,1582.98,1641.46
Katlyn Cerminara,1582.63,1623.52
Alexa Grasso,1582.56,1618.35
Kayla Harrison,1582.32,1582.32
Ignacio Bahamondes,1582.23,1604.62
Omari Akhmedov,1582.05,1602.24
David Teymur,1582.0,1605.87
Sean Woodson,1581.81,1610.26
Kelvin Gastelum,1581.78,1663.19
Bogdan Guskov,1581.32,1581.32
Rousimar Palhares,1581.26,1608.16
Chepe Mariscal,1581.22,1601.84
Miranda Maverick,1581.17,1599.86
Chris Duncan,1581.12,1581.12
Vitor Belfort,1581.04,1644.96
Jordan Johnson,1581.01,1581.01
Uriah Hall,1580.94,1620.06
Marcos Rogerio de Lima,1580.9,1583.27
Rani Yahya,1580.6,1640.52
Myktybek Orolbai,1580.45,1580.45
Ronda Rousey,1580.44,1637.0
Loopy Godinez,1580.4,1583.82
Dustin Jacoby,1579.74,1593.23
Khalil Rountree Jr.,1579.71,1604.55
Roger Huerta,1579.59,1619.26
Raul Rosas Jr.,1579.44,1579.44
Mike Pierce,1579.27,1632.24
William Gomis,1579.19,1584.93
Chase Hooper,1579.11,1609.28
Carla Esparza,1578.84,1630.11
Ryan Hall,1578.83,1590.2
Shara Magomedov,1578.54,1587.06
Quinton Jackson,1578.19,1627.24
Thiago Santos,1577.41,1662.72
Andre Lima,1577.33,1577.33
Li Jingliang,1576.62,1630.8
Johnny Walker,1576.5,1595.8
Darren Elkins,1576.43,1669.42
Ailin Perez,1576.29,1576.29
Tagir Ulanbekov,1576.11,1600.6
Cheick Kongo,1575.99,1618.57
Nicolas Dalby,1575.61,1601.42
Valter Walker,1575.47,1575.47
Muhammad Naimov,1575.25,1575.25
Santiago Ponzinibbio,1574.98,1663.29
Quillan Salkilld,1574.86,1574.86
Melquizael Costa,1574.68,1574.68
Edson Barboza,1574.48,1658.58
Irene Aldana,1574.36,1593.97
Alexandr Romanov,1574.25,1603.27
Taylor Lapilus,1574.11,1574.11
Sam Patterson,1573.91,1573.91
Matt Brown,1573.45,1650.37
Krzysztof Jotko,1572.97,1598.05
Uros Medic,1572.92,1572.92
Nate Quarry,1572.59,1602.99
Nursulton Ruziboev,1572.06,1572.06
Daniel Santos,1571.96,1571.96
Vitor Petrino,1571.59,1582.02
Kevin Holland,1571.37,1636.41
Tracy Cortez,1571.34,1593.16
Al Iaquinta,1571.23,1638.41
Marcus McGhee,1571.13,1587.72
Dennis Siver,1571.08,1610.82
Chris Lytle,1570.85,1570.85
Marvin Vettori,1570.76,1625.92
Sage Northcutt,1570.74,1570.74
David Onama,1570.73,1594.15
Modestas Bukauskas,1570.62,1570.62
Rashad Evans,1570.19,1714.6
Manuel Torres,1570.02,1570.02
Mike Swick,1569.95,1663.08
Johny Hendricks,1569.91,1699.09
Diego Ferreira,1569.67,1644.41
Kevin Lee,1569.28,1661.76
Jared Rosholt,1568.9,1593.45
Payton Talbott,1568.88,1569.86
Allan Nascimento,1568.79,1568.79
Ketlen Vieira,1568.64,1588.46
Said Nurmagomedov,1568.12,1615.96
Mike Davis,1568.06,1568.06
Pedro Rizzo,1568.05,1594.02
Iasmin Lucindo,1567.99,1567.99
Michel Pereira,1567.92,1656.46
Brett Johns,1567.71,1567.71
Alonzo Menifield,1567.53,1612.53
Stephen Thompson,1567.35,1663.95
Luana Santos,1567.05,1567.05
Chris Weidman,1566.94,1727.8
Rafa Garcia,1566.83,1566.83
Myles Jury,1566.55,1627.54
Elizeu Zaleski dos Santos,1566.4,1632.11
Brunno Ferreira,1566.13,1566.13
Mark Bocek,1566.02,1569.14
Serghei Spivac,1565.96,1608.23
Joanderson Brito,1565.79,1609.45
Ryan LaFlare,1565.68,1601.3
Ateba Gautier,1565.66,1565.66
Matt Mitrione,1565.63,1619.89
Sergio Pettis,1565.51,1589.34
Dan Severn,1565.24,1593.81
Joanna Jedrzejczyk,1565.22,1652.35
Alex Caceres,1564.85,1604.95
Dan Ige,1564.72,1611.6
John Dodson,1564.52,1611.44
Mairon Santos,1564.51,1564.51
Jeremiah Wells,1564.49,1595.47
Chael Sonnen,1563.46,1583.48
Joselyne Edwards,1563.32,1563.32
Ricco Rodriguez,1563.16,1616.89
Dustin Ortiz,1563.14,1578.21
Matthew Riddle,1563.12,1572.37
Diego Sanchez,1562.8,1654.44
Jimmie Rivera,1562.75,1607.75
Luke Rockhold,1562.75,1639.1
Michael Page,1562.46,1562.46
Tom Nolan,1561.4,1561.4
Ruslan Magomedov,1561.24,1561.24
Kyler Phillips,1561.12,1602.24
Murilo Bustamante,1561.06,1561.06
Mick Parkin,1560.92,1579.16
Kai Kara-France,1560.51,1595.45
Shane Carwin,1560.46,1604.88
Chris Curtis,1560.1,1583.11
Jacare Souza,1560.08,1660.34
Jens Pulver,1559.83,1618.55
Eddie Alvarez,1559.82,1577.01
Charles Jourdain,1559.23,1559.23
Loma Lookboonmee,1559.13,1582.4
Nate Maness,1559.09,1567.59
Justin Willis,1558.86,1579.02
Jeff Molina,1558.86,1558.86
Charles Johnson,1558.72,1558.72
Ramiz Brahimaj,1558.71,1558.71
Karol Rosa,1558.63,1571.57
Nurullo Aliev,1558.52,1558.52
Leonardo Santos,1558.52,1642.02
Adrian Yanez,1558.51,1608.79
Jamahal Hill,1558.47,1628.6
Rafael Estevam,1558.4,1558.4
Shawn Jordan,1558.12,1580.51
Terrance McKinney,1557.71,1557.71
Nikita Krylov,1557.65,1610.68
Rinya Nakamura,1557.59,1558.82
Donald Cerrone,1557.44,1766.08
Karo Parisyan,1557.32,1617.83
Nik Lentz,1557.17,1620.55
Dan Hardy,1557.04,1596.45
Evan Tanner,1556.43,1646.03
Pat Miletich,1556.2,1588.91
Alejandro Perez,1556.12,1609.61
SuYoung You,1555.74,1555.74
Michael McDonald,1555.72,1584.06
Navajo Stirling,1555.49,1555.49
Dooho Choi,1555.35,1575.49
Frank Shamrock,1555.29,1555.29
Chris Wade,1555.24,1583.77
Jack Hermansson,1554.97,1623.11
Alan Jouban,1554.6,1584.73
Damir Ismagulov,1554.51,1590.43
Michal Oleksiejczuk,1554.45,1569.87
Julian Erosa,1554.41,1575.69
Jaqueline Amorim,1554.31,1577.76
Lorenz Larkin,1554.21,1554.21
Drew Dober,1554.02,1623.06
Kyung Ho Kang,1553.85,1604.71
Tony Ferguson,1553.81,1777.4
MarQuel Mederos,1553.78,1553.78
James Vick,1553.57,1666.63
Kurt Pellegrino,1553.38,1593.95
Jessica Andrade,1553.29,1655.56
Casey O'Neill,1553.19,1583.28
Fatima Kline,1552.99,1552.99
Tecia Pennington,1552.69,1593.73
Ben Rothwell,1552.34,1598.92
Renato Sobral,1552.19,1569.35
Esteban Ribovics,1552.19,1552.19
Frank Mir,1552.16,1647.21
Ryan Spann,1552.13,1607.97
Stevie Ray,1551.93,1582.45
Dean Lister,1551.59,1568.63
Jussier Formiga,1551.55,1619.26
Mark Munoz,1551.23,1627.13
Thiago Tavares,1550.96,1582.29
Francis Carmont,1550.7,1618.74
Bryan Caraway,1550.51,1597.88
Brady Hiestand,1550.06,1550.06
Ilir Latifi,1550.01,1598.91
John Moraga,1549.76,1575.1
Mario Pinto,1549.57,1549.57
Cody Garbrandt,1549.4,1637.27
Askar Askarov,1549.36,1568.96
Jean Matsumoto,1549.3,1549.3
Khaos Williams,1549.19,1602.13
Alexander Gustafsson,1549.04,1648.61
Raphael Assuncao,1549.03,1666.59
